.,query_string,normalized_string,freq
266,theories of human relationships,theories of human relationships,1
267,theories of humans perceive,theories of humans perceive,1
268,theories of hypermedia take,theories of hypermedia take,1
269,theories of imperfected authorial,theories of imperfected authorial,1
270,theories of incremental change,theories of incremental change,1
271,theories of inference knowledge,theories of inference knowledge,1
272,theories of influence originality,theories of influence originality,1
273,theories of information ,theories of information ,1
274,theories of information belies,theories of information belies,1
275,theories of information derrida's,theories of information derrida's,1
276,theories of intelligence .,theories of intelligence,1
277,theories of intelligence (,theories of intelligence,1
278,theories of intelligence must,theories of intelligence must,1
279,theories of interactive fiction,theories of interactive fiction,1
280,theories of intercultural exchange,theories of intercultural exchange,1
281,theories of interpretation .,theories of interpretation,1
282,theories of interrelationships author,theories of interrelationships author,1
283,theories of intersectionality .,theories of intersectionality,1
284,theories of investigator .,theories of investigator,1
285,theories of jacques derrida,theories of jacques derrida,1
286,theories of language ,theories of language ,1
287,theories of language ;,theories of language ,1
288,theories of language :,theories of language ,1
289,theories of language .,theories of language ,1
290,theories of language use,theories of language use,1
291,theories of late 1990s,theories of late 1990s,1
292,theories of late-18th century,theories of late-18th century,1
293,theories of learning ,theories of learning ,1
294,theories of learning instruction,theories of learning instruction,1
295,theories of letter writing,theories of letter writing,1
296,theories of lexical density,theories of lexical density,1
297,theories of lexical diffusion,theories of lexical diffusion,1
298,theories of linguistic performance,theories of linguistic performance,1
299,theories of literary change,theories of literary change,1
300,theories of literature .,theories of literature ,1
301,theories of literature (,theories of literature ,1
302,theories of literature either,theories of literature either,1
303,theories of literature engages,theories of literature engages,1
304,theories of literature insist,theories of literature insist,1
305,theories of literature sought,theories of literature sought,1
306,theories of long-run development,theories of long-run development,1
307,theories of long-term political,theories of long-term political,1
308,theories of man society,theories of man society,1
309,theories of mannheim ,theories of mannheim ,1
310,theories of margins ,theories of margins ,1
311,theories of margins (,theories of margins ,1
312,theories of materiality n,theories of materiality n,1
313,"theories of meaning \""",theories of meaning ,1
314,theories of meaning philosophy,theories of meaning philosophy,1
315,theories of meaning power,theories of meaning power,1
316,theories of meaning relationships,theories of meaning relationships,1
317,theories of meaning studies,theories of meaning studies,1
318,theories of meanings bodies,theories of meanings bodies,1
319,theories of media ,theories of media ,1
320,theories of media .,theories of media ,1
321,theories of media change,theories of media change,1
322,theories of media control,theories of media control,1
323,theories of media reading,theories of media reading,1
324,"theories of mediation \""",theories of mediation,1
325,theories of mental encoding,theories of mental encoding,1
326,theories of mental representations,theories of mental representations,1
327,theories of metaphor ;,theories of metaphor,1
328,theories of metaphor .,theories of metaphor,1
329,theories of metaphor need,theories of metaphor need,1
330,theories of metaphor order,theories of metaphor order,1
331,theories of metaphor trying,theories of metaphor trying,1
332,theories of metaphor unfortunately,theories of metaphor unfortunately,1
333,theories of mid twentieth-century,theories of mid twentieth-century,1
334,theories of mind .,theories of mind,1
335,theories of modern art,theories of modern art,1
336,theories of modern linguistics,theories of modern linguistics,1
337,theories of modern physics,theories of modern physics,1
338,theories of morphology ,theories of morphology ,1
339,theories of morphology judith,theories of morphology judith,1
340,theories of multimedia learning,theories of multimedia learning,1
341,theories of multimodality also,theories of multimodality also,1
342,theories of multimodality analytical,theories of multimodality analytical,1
343,theories of multimodality evaluate,theories of multimodality evaluate,1
344,theories of multiple authorship,theories of multiple authorship,1
345,theories of music encoded,theories of music encoded,1
346,theories of music well,theories of music well,1
347,theories of names ',theories of names,1
348,theories of narrative .,theories of narrative,1
349,theories of narrative (,theories of narrative,1
350,theories of narrative diverge,theories of narrative diverge,1
351,theories of narrative games,theories of narrative games,1
352,theories of narratives digital,theories of narratives digital,1
353,theories of natural language,theories of  natural language,1
354,theories of network narratives,theories of network narratives,1
355,theories of neural networks,theories of neural networks,1
356,theories of new media,theories of new media,1
357,theories of orderly composition,theories of orderly composition,1
358,theories of party identification,theories of party identification,1
359,theories of passions .,theories of passions,1
360,theories of passions require,theories of passions require,1
361,theories of perception representation,theories of perception representation,1
362,theories of period .,theories of period,1
363,theories of personality .,theories of personality,1
364,theories of phenomenological research,theories of phenomenological research,1
365,theories of piracy memorial,theories of piracy memorial,1
366,theories of play poetry,theories of play poetry,1
367,theories of post-structuralist literary,theories of post-structuralist literary,1
368,theories of practitioners NA,theories of practitioners,1
369,theories of public goods,theories of public goods,1
370,theories of punctuation .,theories of punctuation,1
371,theories of quantitative textual,theories of quantitative textual,1
372,theories of rational orderly,theories of rational orderly,1
373,theories of readers interact,theories of readers interact,1
374,theories of reading ,theories of reading ,1
375,theories of reading .,theories of reading ,1
376,theories of recognition ,theories of recognition ,1
377,theories of relativity ',theories of relativity,1
378,theories of relativity emergence,theories of relativity emergence,1
379,theories of relevance multitude,theories of relevance multitude,1
380,theories of representational time,theories of representational time,1
381,theories of retinal image,theories of retinal image,1
382,theories of rhyme sound,theories of rhyme sound,1
383,theories of rhythm quantitative,theories of rhythm quantitative,1
384,theories of russian philologist,theories of russian philologist,1
385,theories of salvation ,theories of salvation ,1
386,theories of schank abelson,theories of schank abelson,1
387,theories of scholarly communication,theories of scholarly communication,1
388,theories of scholarly documentary,theories of scholarly documentary,1
389,theories of scholarly textual,theories of scholarly textual,1
390,theories of second language,theories of second language,1
391,theories of secret ghost,theories of secret ghost,1
392,theories of semantics of,theories of semantics,1
393,theories of shakespearean co-authorship,theories of shakespearean co-authorship,1
394,theories of sign .,theories of sign,1
395,theories of sign dominated,theories of sign dominated,1
396,theories of similarity relied,theories of similarity relied,1
397,theories of simulating word,theories of simulating word,1
398,theories of skill acquisition,theories of skill acquisition,1
399,theories of so-called ',theories of so-called,1
400,theories of social perception,theories of social perception,1
401,theories of social processes,theories of social processes,1
402,theories of social science,theories of social science,1
403,theories of sovereignty -,theories of sovereignty,1
404,theories of spaces [,theories of spaces,1
405,theories of spenserian allegory,theories of spenserian allegory,1
406,theories of stephen krashen,theories of stephen krashen,1
407,theories of stimulus attractiveness,theories of stimulus attractiveness,1
408,theories of storing retrieval,theories of storing retrieval,1
409,theories of stress english,theories of stress english,1
410,theories of structural dialectology,theories of structural dialectology,1
411,theories of structural semantic,theories of structural semantic,1
412,theories of structure .,theories of structure,1
413,theories of stuart hall,theories of stuart hall,1
414,theories of style always,theories of style always,1
415,theories of style employing,theories of style employing,1
416,theories of stylistic biographical,theories of stylistic biographical,1
417,theories of subject contend,theories of subject contend,1
418,theories of subject enunciation,theories of subject enunciation,1
419,theories of survey archaeology,theories of survey archaeology,1
420,theories of symbolic information,theories of symbolic information,1
421,theories of targets ,theories of targets ,1
422,theories of task constraint,theories of task constraint,1
423,theories of teaching learning,theories of teaching learning,1
424,theories of technological determinism,theories of technological determinism,1
425,theories of technology taken,theories of technology taken,1
426,theories of text .,theories of text ,1
427,theories of text design,theories of text design,1
428,theories of text developed,theories of text developed,1
429,theories of text discourse,theories of text discourse,1
430,theories of text privilege,theories of text privilege,1
431,theories of text represented,theories of text represented,1
432,theories of text role,theories of text role,1
433,theories of text ways,theories of text ways,1
434,theories of text well,theories of text well,1
435,theories of text-editing also,theories of text-editing also,1
436,theories of text-encoding ,theories of text-encoding ,1
437,theories of textual editing,theories of textual editing,1
438,theories of textual practice,theories of textual practice,1
439,theories of textual production,theories of textual production,1
440,theories of textuality .,theories of textuality,1
441,theories of textuality (,theories of textuality,1
442,theories of textuality discourse,theories of textuality discourse,1
443,theories of tonality originally,theories of tonality originally,1
444,theories of tonality principal,theories of tonality principal,1
445,theories of transformational-generative grammar,theories of transformational-generative grammar,1
446,theories of translation (,theories of translation,1
447,theories of transmission reconstruction,theories of transmission reconstruction,1
448,theories of truth .,theories of truth,1
449,theories of tutoring ,theories of tutoring ,1
450,theories of twentieth-century art,theories of twentieth-century art,1
451,theories of utopia .,theories of utopia,1
452,theories of validity of,theories of validity,1
453,theories of variety of,theories of variety,1
454,theories of various editorial,theories of various editorial,1
455,theories of video games,theories of video games,1
456,theories of virality .,theories of virality,1
457,theories of visual semiotics,theories of visual semiotics,1
458,theories of wittgenstein ,theories of wittgenstein ,1
459,theories of word meaning,theories of word meaning,1
460,theories of work society,theories of work society,1
461,theories of world ,theories of world ,1
462,"theories of writing \""",theories of writing ,1
463,theories of writing focus,theories of writing focus,1
464,theories of writing provide,theories of writing provide,1
465,theorisation of post-regional approach,theorisation of post-regional approach,1
466,theorisations of browsing outlined,theorisations of browsing outlined,1
467,theorisations of models position,theorisations of models position,1
468,"theorist of \"" anti-patriarchal",theorist of anti-patriarchal,1
469,theorist of digital literature,theorist of digital literature,1
470,theorist of form of,theorist of form,1
471,theorist of hypertext ,theorist of hypertext ,1
472,theorist of mothering (,theorist of mothering,1
473,theorist of readerly visuality,theorist of readerly visuality,1
474,theorist of representative democracy,theorist of representative democracy,1
475,theorists of 1960s roland,theorists of 1960s roland,1
476,theorists of 1980s 1990s,theorists of 1980s 1990s,1
477,theorists of browsing offer,theorists of browsing offer,1
478,theorists of colloquial ,theorists of colloquial ,1
479,theorists of cybernetic era,theorists of cybernetic era,1
480,theorists of digital print,theorists of digital print,1
481,theorists of digital textuality,theorists of digital textuality,1
482,theorists of discipline ),theorists of discipline,1
483,theorists of electronic textuality,theorists of electronic textuality,1
484,theorists of field seems,theorists of field seems,1
485,theorists of held modernization,theorists of held modernization,1
486,theorists of hypermedia similarly,theorists of hypermedia similarly,1
487,theorists of hypertext ,theorists of hypertext ,1
488,theorists of information ,theorists of information ,1
489,theorists of language ,theorists of language ,1
490,theorists of last century,theorists of last century,1
491,theorists of literature .,theorists of literature,1
492,theorists of media technologies,theorists of media technologies,1
493,theorists of narrative developing,theorists of narrative developing,1
494,theorists of older ,theorists of older ,1
495,theorists of quest suggest,theorists of quest suggest,1
496,theorists of technology .,theorists of technology,1
497,theorists of technology adoption,theorists of technology adoption,1
498,theorists of text markup,theorists of text markup,1
499,theorists of theatrical archiving,theorists of theatrical archiving,1
500,theorists of theatrical text,theorists of theatrical text,1
501,theorists of tonal music,theorists of tonal music,1
502,theorists of transformation aharon,theorists of transformation aharon,1
503,theorists of twentieth-century new,theorists of twentieth-century new,1
504,theoriz-ers of hypertext .,theorizers of hypertext,1
505,theorization of archives .,theorization of archives,1
506,theorization of comics .,theorization of comics,1
507,theorization of concept of,theorization of concept,1
508,theorization of contingent problems,theorization of contingent problems,1
509,theorization of corpus building,theorization of corpus building,1
510,theorization of cybertext poetics,theorization of cybertext poetics,1
511,theorization of digital alchemy,theorization of digital alchemy,1
512,theorization of digital archives,theorization of digital archives,1
513,theorization of digital project,theorization of digital project,1
514,theorization of early modern,theorization of early modern,1
515,theorization of existing spaces,theorization of existing spaces,1
516,theorization of feminist digital,theorization of feminist digital,1
517,theorization of issues .,theorization of issues,1
518,theorization of object of,theorization of object,1
519,theorization of online archive,theorization of online archive,1
520,theorization of reading of,theorization of reading,1
521,theorization of relationship drawing,theorization of relationship drawing,1
522,theorization of rule-making rule-breaking,theorization of rule-making rule-breaking,1
523,theorization of user-friendly design,theorization of user-friendly design,1
524,theorizations of collaboration feminist,theorizations of collaboration feminist,1
525,theorizations of distributed cognition,theorizations of distributed cognition,1
526,theorizations of postmodern ',theorizations of postmodern,1
527,theorizations of relationship neuroanatomy,theorizations of relationship neuroanatomy,1
528,theorizations of utopia (,theorizations of utopia,1
529,theorizing of 1990s poetry,theorizing of 1990s poetry,1
530,theorizing of avatar must,theorizing of avatar must,1
531,theorizing of earlier chapters,theorizing of earlier chapters,1
532,theorizing of higher criticism,theorizing of higher criticism,1
533,theorizing of late 1990s,theorizing of late 1990s,1
534,theorizing of posthuman subject,theorizing of posthuman subject,1
535,theorizing of underlying process,theorizing of underlying process,1
536,theory of . NA,theory of .,1
537,theory of ' assumedly,theory of ' assumedly,1
538,theory of ' complex,theory of ' complex,1
539,theory of ' conceptual,theory of conceptual,1
540,theory of ' corporate,theory of ' corporate,1
541,theory of ' forms,theory of ' forms,1
542,theory of ' fuzzy,theory of ' fuzzy,1
543,theory of ' literary,theory of ' literary,1
544,theory of ' mutual,theory of ' mutual,1
545,theory of ' possible,theory of ' possible,1
546,theory of ' strategic,theory of ' strategic,1
547,theory of ' tacit,theory of ' tacit,1
548,theory of ' unity,theory of ' unity,1
549,"theory of \"" automated",theory of automated,1
550,"theory of \"" ergodic",theory of ergodic,1
551,"theory of \"" frames",theory of frames,1
552,"theory of \"" genius",theory of genius,1
553,"theory of \"" heteroglossia",theory of heteroglossia,1
554,"theory of \"" ideograph",theory of ideograph,1
555,"theory of \"" rhetorical",theory of  rhetorical,1
556,"theory of \"" romantic",theory of romantic,1
557,"theory of \"" strong",theory of strong,1
558,"theory of \"" tiny",theory of tiny,1
559,"theory of \"" transition",theory of transition,1
560,"theory of \"" trend",theory of trend,1
561,theory of ( automated,theory of automated,1
562,theory of ( mental,theory of mental,1
563,theory of 1817 firmly,theory of 1817 firmly,1
564,theory of 1817 role,theory of 1817 role,1
565,theory of 1940s lies,theory of 1940s lies,1
566,theory of 1965 undergone,theory of 1965 undergone,1
567,theory of accent recognizes,theory of accent recognizes,1
568,theory of acousmatics ,theory of acousmatics ,1
569,theory of acquaintance ,theory of acquaintance ,1
570,theory of acquisition of,theory of acquisition,1
571,theory of aesthetic .,theory of aesthetic,1
572,theory of affordance perceptual,theory of affordance perceptual,1
573,theory of algorithmic computation,theory of algorithmic computation,1
574,theory of alienation of,theory of alienation,1
575,theory of allusion espen,theory of allusion espen,1
576,theory of american sign,theory of american sign,1
577,theory of analogy .,theory of analogy,1
578,theory of animals .,theory of animals,1
579,theory of animating power,theory of animating power,1
580,theory of annotation ,theory of annotation ,1
581,theory of anything intellectual,theory of anything intellectual,1
582,theory of applications different,theory of applications different,1
583,theory of arithmetic .,theory of arithmetic,1
584,theory of art ,theory of art ,1
585,theory of arts related,theory of arts related,1
586,theory of authorship marlowe,theory of authorship marlowe,1
587,theory of authorship of,theory of authorship,1
588,theory of authorship shakespeare,theory of authorship shakespeare,1
589,theory of automata .,theory of automata,1
590,theory of automata formal,theory of automata formal,1
591,theory of automatic signal,theory of automatic signal,1
592,theory of ballad tradition,theory of ballad tradition,1
593,theory of baudrillard ,theory of baudrillard ,1
594,theory of belief must,theory of belief must,1
595,theory of browsing [,theory of browsing,1
596,theory of building virtual,theory of building virtual,1
597,theory of c .,theory of c,1
598,theory of c l,theory of c l,1
599,theory of c:m ratios,theory of c:m ratios,1
600,theory of call .,theory of call,1
601,"theory of called \""",theory of called,1
602,theory of canonical reference,theory of canonical reference,1
603,theory of case grammar,theory of case grammar,1
604,theory of category paradigm,theory of category paradigm,1
605,theory of ceccato ,theory of ceccato ,1
606,theory of central places,theory of central places,1
607,theory of change arts,theory of change arts,1
608,theory of change-point statistics,theory of change-point statistics,1
609,theory of characters based,theory of characters based,1
610,theory of christaller ,theory of christaller ,1
611,theory of chronometry ,theory of chronometry ,1
612,theory of class-based writing,theory of class-based writing,1
613,theory of clause grammar,theory of clause grammar,1
614,theory of co-creation integral,theory of co-creation integral,1
615,theory of cognition developed,theory of cognition developed,1
616,theory of cognition offers,theory of cognition offers,1
617,theory of cognitive dissonance,theory of cognitive dissonance,1
618,theory of cognitive thematic,theory of cognitive thematic,1
619,theory of collection appropriate,theory of collection appropriate,1
620,theory of collective action,theory of collective action,1
621,theory of collective intelligence,theory of collective intelligence,1
622,theory of collision of,theory of collision,1
623,theory of color .,theory of color,1
624,theory of colors (,theory of colors,1
625,theory of comic arising,theory of comic arising,1
626,theory of communication -,theory of communication ,1
627,"theory of communication \""",theory of communication ,1
628,theory of communication (,theory of communication ,1
629,theory of communication hard,theory of communication hard,1
630,theory of communication presupposes,theory of communication presupposes,1
631,theory of communications rooted,theory of communications rooted,1
632,theory of community organizing,theory of community organizing,1
633,theory of composition based,theory of composition based,1
634,theory of composition describes,theory of composition describes,1
635,theory of composition instruction,theory of composition instruction,1
636,theory of comprehension .,theory of comprehension,1
637,theory of computability ;,theory of computability,1
638,theory of computability applies,theory of computability applies,1
639,theory of computation ,theory of computation ,1
640,theory of computation (,theory of computation ,1
641,theory of computation specification,theory of computation specification,1
642,theory of computational complexity,theory of computational complexity,1
643,theory of computational shape-perception,theory of computational shape-perception,1
644,theory of computer games,theory of computer games,1
645,theory of computer sydney,theory of computer sydney,1
646,theory of computer theatre,theory of computer theatre,1
647,theory of computing .,theory of computing,1
648,theory of concept critique,theory of concept critique,1
649,theory of conceptual analysis,theory of conceptual analysis,1
650,theory of conceptual dependency,theory of conceptual dependency,1
651,theory of conceptual metaphor,theory of ' conceptual metaphor,1
652,theory of concordance making,theory of concordance making,1
653,"theory of concordances \""",theory of concordances,1
654,theory of conditions required,theory of conditions required,1
655,theory of conjecture desideratum,theory of conjecture desideratum,1
656,theory of consciousness terms,theory of consciousness terms,1
657,theory of conservation (,theory of conservation,1
658,theory of constant-recording camera,theory of constant-recording camera,1
659,theory of constitutes influence,theory of constitutes influence,1
660,theory of constitutes narrative,theory of constitutes narrative,1
661,theory of contemporary digital,theory of contemporary digital,1
662,theory of context-free languages,theory of context-free languages,1
663,theory of conversation ,theory of conversation ,1
664,theory of conversational narratives,theory of conversational narratives,1
665,theory of conversational networks,theory of conversational networks,1
666,theory of cooperative behavior,theory of cooperative behavior,1
667,theory of copy-text ',theory of copy-text,1
668,theory of creativity can,theory of creativity can,1
669,theory of critical elections,theory of critical elections,1
670,theory of criticism ,theory of criticism ,1
671,theory of cultural identities,theory of cultural identities,1
672,theory of cultural studies,theory of cultural studies,1
673,theory of culture ,theory of culture ,1
674,theory of data ,theory of data ,1
675,theory of data manipulation,theory of data manipulation,1
676,theory of deliberative communication,theory of deliberative communication,1
677,theory of descriptive esthetics,theory of descriptive esthetics,1
678,theory of desire ,theory of desire ,1
679,theory of determinants .,theory of determinants,1
680,theory of determinants put,theory of determinants put,1
681,theory of development of,theory of development,1
682,theory of deviant word,theory of deviant word,1
683,theory of deviser ,theory of deviser ,1
684,theory of differential equations,theory of differential equations,1
685,theory of diffusion helps,theory of diffusion helps,1
686,theory of digital media,theory of digital media,1
687,theory of digital reading,theory of digital reading,1
688,theory of digital text,theory of digital text,1
689,theory of directed perception,theory of directed perception,1
690,theory of discourse .,theory of discourse ,1
691,theory of discourse (,theory of discourse ,1
692,theory of discourse proceeds,theory of discourse proceeds,1
693,theory of discourse processing,theory of discourse processing,1
694,theory of discourse structures,theory of discourse structures,1
695,theory of disruptive innovation,theory of disruptive innovation,1
696,theory of distant viewing,theory of distant viewing,1
697,theory of doctor ,theory of doctor ,1
698,theory of documentation ,theory of documentation ,1
699,theory of domain ,theory of domain ,1
700,theory of domain actually,theory of domain actually,1
701,theory of drama underlies,theory of drama underlies,1
702,theory of dramatic narrative,theory of dramatic narrative,1
703,theory of dreams ,theory of dreams ,1
704,theory of dynamic systems,theory of dynamic systems,1
705,theory of dynamic unstable,theory of dynamic unstable,1
706,theory of dynamical systems,theory of dynamical systems,1
707,theory of ecological perception,theory of ecological perception,1
708,theory of economic-demographic relations,theory of economic-demographic relations,1
709,theory of economy based,theory of economy based,1
710,theory of editing different,theory of editing different,1
711,theory of editions points,theory of editions points,1
712,theory of educational moos,theory of educational moos,1
713,theory of either .,theory of either,1
714,theory of elections peter,theory of elections peter,1
715,theory of electromagnetism ,theory of electromagnetism ,1
716,theory of electromagnetism reality,theory of electromagnetism reality,1
717,theory of electronic literature,theory of electronic literature,1
718,theory of electronic textuality,theory of electronic textuality,1
719,theory of embodied music,theory of embodied music,1
720,theory of embodiment ',theory of embodiment,1
721,theory of emotions formulated,theory of emotions formulated,1
722,theory of enargeia thus,theory of enargeia thus,1
723,theory of engineering of,theory of engineering,1
724,theory of english nominalization,theory of english nominalization,1
725,theory of english word,theory of english word,1
726,theory of ergodic literature,theory of  ergodic literature,1
727,theory of essentially ',theory of essentially,1
728,theory of evaluation .,theory of evaluation,1
729,theory of event structure,theory of event structure,1
730,"theory of everything \""",theory of everything,1
731,theory of evolution .,theory of evolution ,1
732,theory of evolution exerted,theory of evolution exerted,1
733,theory of evolution face,theory of evolution face,1
734,theory of evolution technological,theory of evolution technological,1
735,theory of extended texts,theory of extended texts,1
736,theory of feature structures,theory of feature structures,1
737,theory of feedback poetry,theory of feedback poetry,1
738,theory of fictionality parallels,theory of fictionality parallels,1
739,theory of field ,theory of field ,1
740,theory of finite sequence,theory of finite sequence,1
741,theory of finite state,theory of finite state,1
742,theory of first-generation e-texts,theory of first-generation e-texts,1
743,theory of folktale structure,theory of folktale structure,1
744,theory of foregrounding ,theory of foregrounding ,1
745,theory of formal grammars,theory of formal grammars,1
746,theory of formalism ,theory of formalism ,1
747,theory of formalization proof,theory of formalization proof,1
748,theory of forms (,theory of ' forms,1
749,theory of forms concomitant,theory of forms concomitant,1
750,theory of forms needs,theory of forms needs,1
751,theory of forms strong,theory of forms strong,1
752,theory of four causes,theory of four causes,1
753,theory of frame semantics,theory of frame semantics,1
754,theory of frequent .,theory of frequent,1
755,theory of functional sentence,theory of functional sentence,1
756,theory of game ',theory of game,1
757,theory of games .,theory of games ,1
758,theory of games ',theory of games ,1
759,theory of games developed,theory of games developed,1
760,theory of gaming ,theory of gaming ,1
761,theory of gendered authorship,theory of gendered authorship,1
762,theory of generalized phrase,theory of generalized phrase,1
763,theory of genre ,theory of genre ,1
764,theory of genres prototypes,theory of genres prototypes,1
765,theory of grammar advocates,theory of grammar advocates,1
766,theory of grammar applicable,theory of grammar applicable,1
767,theory of grammar linguistic,theory of grammar linguistic,1
768,theory of grammar man-machine,theory of grammar man-machine,1
769,theory of grammar outlined,theory of grammar outlined,1
770,theory of grammar teaching,theory of grammar teaching,1
771,theory of grammars ;,theory of grammars,1
772,theory of graphemics developed,theory of graphemics developed,1
773,theory of graphic design,theory of graphic design,1
774,theory of graphs applications,theory of graphs applications,1
775,theory of graphs linguistics,theory of graphs linguistics,1
776,theory of graphs mar,theory of graphs mar,1
777,theory of group cognition,theory of group cognition,1
778,theory of han4-zi4 study,theory of han4-zi4 study,1
779,theory of han4-zi4 writing,theory of han4-zi4 writing,1
780,theory of hardware software,theory of hardware software,1
781,theory of harmonious proportion,theory of harmonious proportion,1
782,theory of historical documents,theory of historical documents,1
783,theory of historicity ,theory of historicity ,1
784,theory of history broadly,theory of history broadly,1
785,theory of history expressed,theory of history expressed,1
786,theory of human capacities,theory of human capacities,1
787,theory of human image,theory of human image,1
788,theory of human literary,theory of human literary,1
789,theory of human memory,theory of human memory,1
790,theory of human psyche,theory of human psyche,1
791,theory of humans process,theory of humans process,1
792,theory of humoral pathology,theory of humoral pathology,1
793,theory of humour (,theory of humour,1
794,theory of hybrid library,theory of hybrid library,1
795,theory of hydraulics constructing,theory of hydraulics constructing,1
796,theory of hyper-circulation can,theory of hyper-circulation can,1
797,theory of hypermedia must,theory of hypermedia must,1
798,theory of hypermedia take,theory of hypermedia take,1
799,theory of hypertextual reading,theory of hypertextual reading,1
800,theory of ideal authorship,theory of ideal authorship,1
801,theory of idiolect ,theory of idiolect ,1
802,theory of idiolectal co-selection,theory of idiolectal co-selection,1
803,theory of images lies,theory of images lies,1
804,theory of importance of,theory of importance,1
805,theory of impossibility of,theory of impossibility,1
806,theory of inclusive fitness,theory of inclusive fitness,1
807,theory of indexing ,theory of indexing ,1
808,theory of indexing .,theory of indexing ,1
809,theory of indices ,theory of indices ,1
810,theory of indirect speech,theory of indirect speech,1
811,theory of induction .,theory of induction,1
812,theory of inductive learning,theory of inductive learning,1
813,theory of inference memory,theory of inference memory,1
814,theory of infinite semiosis,theory of infinite semiosis,1
815,theory of infinite text,theory of infinite text,1
816,theory of influence bears,theory of influence bears,1
817,"theory of information \""",theory of information,1
818,theory of information (,theory of information,1
819,theory of information found,theory of information found,1
820,theory of information pickup,theory of information pickup,1
821,theory of information systems,theory of information systems,1
822,theory of innovation action,theory of innovation action,1
823,theory of instruction ,theory of instruction ,1
824,theory of instruction influenced,theory of instruction influenced,1
825,theory of integrative levels,theory of integrative levels,1
826,theory of intelligence ',theory of intelligence,1
827,theory of interdisciplinarity (,theory of interdisciplinarity,1
828,theory of interface applies,theory of interface applies,1
829,theory of interpretation .,theory of interpretation,1
830,theory of interpretation context,theory of interpretation context,1
831,theory of interpretation of,theory of interpretation,1
832,theory of invariants terms,theory of invariants terms,1
833,theory of j.j .,theory of j.j,1
834,theory of javanese gamelan,theory of javanese gamelan,1
835,theory of jean piaget,theory of jean piaget,1
836,theory of justification (,theory of justification,1
837,theory of justification order,theory of justification order,1
838,theory of justification three,theory of justification three,1
839,theory of karlsson (,theory of karlsson,1
840,theory of katz fodor,theory of katz fodor,1
841,theory of knowledge ,theory of knowledge ,1
842,theory of knowledge representation,theory of knowledge representation,1
843,theory of koskenniemi (,theory of koskenniemi,1
844,theory of kr .,theory of kr,1
845,theory of lacan 150,theory of lacan 150,1
846,theory of language ;,theory of language ,1
847,theory of language (,theory of language ,1
848,theory of language able,theory of language able,1
849,theory of language acquisition,theory of language acquisition,1
850,theory of language acts,theory of language acts,1
851,theory of language argues,theory of language argues,1
852,theory of language choice,theory of language choice,1
853,theory of language generation,theory of language generation,1
854,theory of language history,theory of language history,1
855,theory of language means,theory of language means,1
856,theory of language must,theory of language must,1
857,theory of language processing,theory of language processing,1
858,theory of language production,theory of language production,1
859,theory of language structure,theory of language structure,1
860,theory of language translation,theory of language translation,1
861,theory of language variation,theory of language variation,1
862,theory of languages can,theory of languages can,1
863,theory of langue et,theory of langue et,1
864,theory of learnable ',theory of learnable,1
865,theory of learning ,theory of learning ,1
866,theory of learning .,theory of learning ,1
867,theory of learning advanced,theory of learning advanced,1
868,theory of learning NA,theory of learning ,1
869,theory of legal information,theory of legal information,1
870,theory of levels of,theory of levels,1
871,theory of lexical conceptual,theory of lexical conceptual,1
872,theory of lexical diffusion,theory of lexical diffusion,1
873,theory of lexical functions,theory of lexical functions,1
874,theory of lexical knowledge,theory of lexical knowledge,1
875,theory of lexical statistics,theory of lexical statistics,1
876,theory of lexicography ',theory of lexicography ,1
877,theory of lexicography proposed,theory of lexicography proposed,1
878,theory of lexis opens,theory of lexis opens,1
879,theory of light optics,theory of light optics,1
880,theory of linguistic deso'iption,theory of linguistic deso'iption,1
881,theory of linguistics .,theory of linguistics,1
882,theory of linguistics different,theory of linguistics different,1
883,theory of link given,theory of link given,1
884,theory of literary .,theory of ' literary,1
885,theory of literary allusion,theory of literary allusion,1
886,theory of literary art,theory of literary art,1
887,theory of literary experience,theory of literary experience,1
888,theory of literary meaning,theory of literary meaning,1
889,theory of literary text,theory of literary text,1
890,theory of literary work,theory of literary work,1
891,theory of literature :,theory of literature ,1
892,theory of literature (,theory of literature ,1
893,theory of literature exact,theory of literature exact,1
894,theory of literature general,theory of literature general,1
895,theory of literature isolated,theory of literature isolated,1
896,theory of literature media,theory of literature media,1
897,theory of literature paris,theory of literature paris,1
898,theory of literature published,theory of literature published,1
899,theory of literature suitable,theory of literature suitable,1
900,theory of literature wellek,theory of literature wellek,1
901,theory of liu4-shul [,theory of liu4-shul,1
902,theory of man deal,theory of man deal,1
903,theory of manifested NA,theory of manifested,1
904,theory of manuscript relationships,theory of manuscript relationships,1
905,theory of markup ,theory of markup ,1
906,theory of markup .,theory of markup ,1
907,theory of matrix classification,theory of matrix classification,1
908,theory of meaning -,theory of meaning,1
909,"theory of meaning \""",theory of meaning,1
910,theory of meaning (,theory of meaning,1
911,theory of meaning believed,theory of meaning believed,1
912,theory of meaning bruns,theory of meaning bruns,1
913,theory of meaning closest,theory of meaning closest,1
914,theory of meaning compared,theory of meaning compared,1
915,theory of meaning give,theory of meaning give,1
916,theory of meaning idea,theory of meaning idea,1
917,theory of meaning model,theory of meaning model,1
918,theory of meaningful verbal,theory of meaningful verbal,1
919,theory of media changing,theory of media changing,1
920,theory of media laws,theory of media laws,1
921,theory of mediation .,theory of mediation,1
922,theory of mediation pod,theory of mediation pod,1
