.,query_string,normalized_string,freq,total_freq
164,theories of allusion (,theories of allusion,1,2
165,theories of animal ethologist,theories of animal ethologist,1,1
166,theories of animal evolution,theories of animal evolution,1,1
167,theories of arts bother,theories of arts bother,1,1
168,theories of arts multiple,theories of arts multiple,1,2
169,theories of aurality .,theories of aurality,1,2
170,theories of authorial markers,theories of authorial markers,1,1
171,theories of authorship attribution,theories of authorship attribution,1,1
172,theories of barthes,theories of barthes,1,3
173,theories of behaviour .,theories of behaviour,1,2
174,theories of brain /,theories of brain,1,2
175,theories of calculus of,theories of calculus,1,2
176,theories of case,theories of case,1,3
177,theories of character descriptions,theories of character descriptions,1,2
178,theories of child learning,theories of child learning,1,2
179,theories of church government,theories of church government,1,1
180,theories of classical operant,theories of classical operant,1,1
181,theories of classification,theories of classification,1,3
182,theories of cognition,theories of cognition,1,4
183,theories of cognition knowledge,theories of cognition knowledge,1,1
184,theories of cohesion ?,theories of cohesion,1,2
185,theories of collaborative knowledge,theories of collaborative knowledge,1,1
186,theories of collaborative learning,theories of collaborative learning,1,2
187,theories of comics distinguish,theories of comics distinguish,1,1
188,theories of communication concerned,theories of communication concerned,1,2
189,theories of communication historical,theories of communication historical,1,1
190,theories of communication technology,theories of communication technology,1,2
191,theories of communicative competence,theories of communicative competence,1,2
192,theories of complex networks,theories of complex networks,1,1
193,theories of complex temporalities,theories of complex temporalities,1,2
194,theories of composing process,theories of composing process,1,2
195,theories of composition,theories of composition,1,4
196,theories of composition probably,theories of composition probably,1,2
197,theories of computation,theories of computation,1,3
198,theories of computer analysis,theories of computer analysis,1,2
199,theories of computer coding,theories of computer coding,1,2
200,theories of computer computer-assisted,theories of computer computer-assisted,1,1
201,theories of computer games,theories of computer games,1,2
202,theories of copy-text,theories of copy-text,1,3
203,theories of counts knowing,theories of counts knowing,1,2
204,theories of critical editing,theories of critical editing,1,2
205,theories of crowdsourcing .,theories of crowdsourcing,1,2
206,theories of cultural evolution,theories of cultural evolution,1,1
207,"theories of curating \""",theories of curating,1,3
208,theories of currency flow,theories of currency flow,1,2
209,theories of dates disprove,theories of dates disprove,1,1
210,theories of david greetham,theories of david greetham,1,2
211,theories of deep structure,theories of deep structure,1,2
212,theories of demography crystallized,theories of demography crystallized,1,2
213,theories of development .,theories of development,1,2
214,theories of diffusion combined,theories of diffusion combined,1,2
215,theories of digital art,theories of digital art,1,2
216,theories of digital communication,theories of digital communication,1,2
217,theories of digital editing,theories of digital editing,1,2
218,theories of digital literary,theories of digital literary,1,2
219,theories of digital technologies,theories of digital technologies,1,2
220,theories of discourse .,theories of discourse,1,8
221,theories of discourse comprehension,theories of discourse comprehension,1,2
222,theories of discovery learning,theories of discovery learning,1,2
223,theories of dispersed decentered,theories of dispersed decentered,1,1
224,theories of distributed cognition,theories of distributed cognition,1,1
225,theories of document ?,theories of document,1,2
226,theories of dom h,theories of dom h,1,2
227,theories of domain can,theories of domain can,1,1
228,theories of domain formulated,theories of domain formulated,1,2
229,theories of dora h,theories of dora h,1,2
230,theories of dreams middle,theories of dreams middle,1,1
231,theories of e.g .,theories of e.g,1,2
232,theories of economic performance,theories of economic performance,1,2
233,theories of economic political,theories of economic political,1,1
234,theories of editing,theories of editing,1,7
235,theories of editing (,theories of editing,1,7
236,theories of editing book,theories of editing book,1,1
237,theories of editing transformative,theories of editing transformative,1,1
238,theories of ekphrasis remained,theories of ekphrasis remained,1,1
239,theories of electoral behavior,theories of electoral behavior,1,1
240,theories of electronic edition,theories of electronic edition,1,1
241,theories of electronic literacy,theories of electronic literacy,1,2
242,theories of encoding discrete,theories of encoding discrete,1,1
243,theories of enunciation distinguish,theories of enunciation distinguish,1,1
244,theories of enunciation drawn,theories of enunciation drawn,1,1
245,theories of enunciation take,theories of enunciation take,1,1
246,theories of epistemology,theories of epistemology,1,3
247,theories of extended mind,theories of extended mind,1,1
248,theories of feature (,theories of feature,1,2
249,theories of feminism,theories of feminism,1,3
250,theories of finding arguments,theories of finding arguments,1,2
251,theories of foucault,theories of foucault,1,3
252,theories of gender representation,theories of gender representation,1,2
253,theories of gender sexuality,theories of gender sexuality,1,2
254,theories of gender technology,theories of gender technology,1,2
255,theories of globalization well,theories of globalization well,1,1
256,theories of governmentality,theories of governmentality,1,3
257,theories of grammar can,theories of grammar can,1,1
258,theories of grammar treat,theories of grammar treat,1,1
259,theories of handwriting hold,theories of handwriting hold,1,2
260,theories of health scientists,theories of health scientists,1,1
261,theories of history become,theories of history become,1,1
262,theories of history novel,theories of history novel,1,2
263,theories of human lexical,theories of human lexical,1,1
264,theories of human motivation,theories of human motivation,1,2
265,theories of human motive,theories of human motive,1,2
266,theories of human relationships,theories of human relationships,1,2
267,theories of humans perceive,theories of humans perceive,1,1
268,theories of hypermedia take,theories of hypermedia take,1,1
269,theories of imperfected authorial,theories of imperfected authorial,1,1
270,theories of incremental change,theories of incremental change,1,1
271,theories of inference knowledge,theories of inference knowledge,1,1
272,theories of influence originality,theories of influence originality,1,2
273,theories of information,theories of information,1,5
274,theories of information belies,theories of information belies,1,1
275,theories of information derrida's,theories of information derrida's,1,1
276,theories of intelligence .,theories of intelligence,1,5
277,theories of intelligence (,theories of intelligence,1,5
278,theories of intelligence must,theories of intelligence must,1,1
279,theories of interactive fiction,theories of interactive fiction,1,2
280,theories of intercultural exchange,theories of intercultural exchange,1,2
281,theories of interpretation .,theories of interpretation,1,2
282,theories of interrelationships author,theories of interrelationships author,1,2
283,theories of intersectionality .,theories of intersectionality,1,2
284,theories of investigator .,theories of investigator,1,3
285,theories of jacques derrida,theories of jacques derrida,1,2
286,theories of language,theories of language,1,13
287,theories of language ;,theories of language,1,13
288,theories of language :,theories of language,1,13
289,theories of language .,theories of language,1,13
290,theories of language use,theories of language use,1,2
291,theories of late 1990s,theories of late 1990s,1,1
292,theories of late-18th century,theories of late-18th century,1,1
293,theories of learning,theories of learning,1,4
294,theories of learning instruction,theories of learning instruction,1,1
295,theories of letter writing,theories of letter writing,1,2
296,theories of lexical density,theories of lexical density,1,2
297,theories of lexical diffusion,theories of lexical diffusion,1,1
298,theories of linguistic performance,theories of linguistic performance,1,2
299,theories of literary change,theories of literary change,1,1
300,theories of literature .,theories of literature,1,14
301,theories of literature (,theories of literature,1,14
302,theories of literature either,theories of literature either,1,1
303,theories of literature engages,theories of literature engages,1,1
304,theories of literature insist,theories of literature insist,1,1
305,theories of literature sought,theories of literature sought,1,1
306,theories of long-run development,theories of long-run development,1,2
307,theories of long-term political,theories of long-term political,1,1
308,theories of man society,theories of man society,1,2
309,theories of mannheim,theories of mannheim,1,3
310,theories of margins,theories of margins,1,5
311,theories of margins (,theories of margins,1,5
312,theories of materiality n,theories of materiality n,1,2
313,"theories of meaning \""",theories of meaning,1,12
314,theories of meaning philosophy,theories of meaning philosophy,1,1
315,theories of meaning power,theories of meaning power,1,2
316,theories of meaning relationships,theories of meaning relationships,1,2
317,theories of meaning studies,theories of meaning studies,1,2
318,theories of meanings bodies,theories of meanings bodies,1,1
319,theories of media,theories of media,1,8
320,theories of media .,theories of media,1,8
321,theories of media change,theories of media change,1,2
322,theories of media control,theories of media control,1,2
323,theories of media reading,theories of media reading,1,1
324,"theories of mediation \""",theories of mediation,1,3
325,theories of mental encoding,theories of mental encoding,1,1
326,theories of mental representations,theories of mental representations,1,2
327,theories of metaphor ;,theories of metaphor,1,8
328,theories of metaphor .,theories of metaphor,1,8
329,theories of metaphor need,theories of metaphor need,1,1
330,theories of metaphor order,theories of metaphor order,1,1
331,theories of metaphor trying,theories of metaphor trying,1,1
332,theories of metaphor unfortunately,theories of metaphor unfortunately,1,1
333,theories of mid twentieth-century,theories of mid twentieth-century,1,2
334,theories of mind .,theories of mind,1,3
335,theories of modern art,theories of modern art,1,2
336,theories of modern linguistics,theories of modern linguistics,1,2
337,theories of modern physics,theories of modern physics,1,2
338,theories of morphology,theories of morphology,1,4
339,theories of morphology judith,theories of morphology judith,1,1
340,theories of multimedia learning,theories of multimedia learning,1,2
341,theories of multimodality also,theories of multimodality also,1,1
342,theories of multimodality analytical,theories of multimodality analytical,1,1
343,theories of multimodality evaluate,theories of multimodality evaluate,1,2
344,theories of multiple authorship,theories of multiple authorship,1,2
345,theories of music encoded,theories of music encoded,1,1
346,theories of music well,theories of music well,1,2
347,theories of names ',theories of names,1,2
348,theories of narrative .,theories of narrative,1,9
349,theories of narrative (,theories of narrative,1,9
350,theories of narrative diverge,theories of narrative diverge,1,2
351,theories of narrative games,theories of narrative games,1,2
352,theories of narratives digital,theories of narratives digital,1,1
353,theories of natural language,theories of  natural language,1,2
354,theories of network narratives,theories of network narratives,1,1
355,theories of neural networks,theories of neural networks,1,2
356,theories of new media,theories of new media,1,2
357,theories of orderly composition,theories of orderly composition,1,1
358,theories of party identification,theories of party identification,1,1
359,theories of passions .,theories of passions,1,4
360,theories of passions require,theories of passions require,1,1
361,theories of perception representation,theories of perception representation,1,2
362,theories of period .,theories of period,1,3
363,theories of personality .,theories of personality,1,3
364,theories of phenomenological research,theories of phenomenological research,1,1
365,theories of piracy memorial,theories of piracy memorial,1,1
366,theories of play poetry,theories of play poetry,1,2
367,theories of post-structuralist literary,theories of post-structuralist literary,1,1
368,theories of practitioners NA,theories of practitioners,1,3
369,theories of public goods,theories of public goods,1,1
370,theories of punctuation .,theories of punctuation,1,3
371,theories of quantitative textual,theories of quantitative textual,1,1
372,theories of rational orderly,theories of rational orderly,1,1
373,theories of readers interact,theories of readers interact,1,1
374,theories of reading,theories of reading,1,5
375,theories of reading .,theories of reading,1,5
376,theories of recognition,theories of recognition,1,3
377,theories of relativity ',theories of relativity,1,4
378,theories of relativity emergence,theories of relativity emergence,1,2
379,theories of relevance multitude,theories of relevance multitude,1,2
380,theories of representational time,theories of representational time,1,1
381,theories of retinal image,theories of retinal image,1,1
382,theories of rhyme sound,theories of rhyme sound,1,1
383,theories of rhythm quantitative,theories of rhythm quantitative,1,1
384,theories of russian philologist,theories of russian philologist,1,1
385,theories of salvation,theories of salvation,1,3
386,theories of schank abelson,theories of schank abelson,1,2
387,theories of scholarly communication,theories of scholarly communication,1,1
388,theories of scholarly documentary,theories of scholarly documentary,1,1
389,theories of scholarly textual,theories of scholarly textual,1,1
390,theories of second language,theories of second language,1,1
391,theories of secret ghost,theories of secret ghost,1,1
392,theories of semantics of,theories of semantics,1,2
393,theories of shakespearean co-authorship,theories of shakespearean co-authorship,1,2
394,theories of sign .,theories of sign,1,4
395,theories of sign dominated,theories of sign dominated,1,2
396,theories of similarity relied,theories of similarity relied,1,1
397,theories of simulating word,theories of simulating word,1,1
398,theories of skill acquisition,theories of skill acquisition,1,2
399,theories of so-called ',theories of so-called,1,2
400,theories of social perception,theories of social perception,1,2
401,theories of social processes,theories of social processes,1,1
402,theories of social science,theories of social science,1,6
403,theories of sovereignty -,theories of sovereignty,1,2
404,theories of spaces [,theories of spaces,1,2
405,theories of spenserian allegory,theories of spenserian allegory,1,1
406,theories of stephen krashen,theories of stephen krashen,1,2
407,theories of stimulus attractiveness,theories of stimulus attractiveness,1,1
408,theories of storing retrieval,theories of storing retrieval,1,2
409,theories of stress english,theories of stress english,1,2
410,theories of structural dialectology,theories of structural dialectology,1,1
411,theories of structural semantic,theories of structural semantic,1,1
412,theories of structure .,theories of structure,1,6
413,theories of stuart hall,theories of stuart hall,1,2
414,theories of style always,theories of style always,1,1
415,theories of style employing,theories of style employing,1,1
416,theories of stylistic biographical,theories of stylistic biographical,1,1
417,theories of subject contend,theories of subject contend,1,1
418,theories of subject enunciation,theories of subject enunciation,1,2
419,theories of survey archaeology,theories of survey archaeology,1,2
420,theories of symbolic information,theories of symbolic information,1,1
421,theories of targets,theories of targets,1,3
422,theories of task constraint,theories of task constraint,1,2
423,theories of teaching learning,theories of teaching learning,1,2
424,theories of technological determinism,theories of technological determinism,1,1
425,theories of technology taken,theories of technology taken,1,1
426,theories of text .,theories of text,1,16
427,theories of text design,theories of text design,1,2
428,theories of text developed,theories of text developed,1,1
429,theories of text discourse,theories of text discourse,1,1
430,theories of text privilege,theories of text privilege,1,1
431,theories of text represented,theories of text represented,1,1
432,theories of text role,theories of text role,1,2
433,theories of text ways,theories of text ways,1,2
434,theories of text well,theories of text well,1,1
435,theories of text-editing also,theories of text-editing also,1,1
436,theories of text-encoding,theories of text-encoding,1,3
437,theories of textual editing,theories of textual editing,1,1
438,theories of textual practice,theories of textual practice,1,1
439,theories of textual production,theories of textual production,1,1
440,theories of textuality .,theories of textuality,1,10
441,theories of textuality (,theories of textuality,1,10
442,theories of textuality discourse,theories of textuality discourse,1,2
443,theories of tonality originally,theories of tonality originally,1,1
444,theories of tonality principal,theories of tonality principal,1,1
445,theories of transformational-generative grammar,theories of transformational-generative grammar,1,2
446,theories of translation (,theories of translation,1,2
447,theories of transmission reconstruction,theories of transmission reconstruction,1,1
448,theories of truth .,theories of truth,1,2
449,theories of tutoring,theories of tutoring,1,3
450,theories of twentieth-century art,theories of twentieth-century art,1,2
451,theories of utopia .,theories of utopia,1,2
452,theories of validity of,theories of validity,1,2
453,theories of variety of,theories of variety,1,2
454,theories of various editorial,theories of various editorial,1,1
455,theories of video games,theories of video games,1,1
456,theories of virality .,theories of virality,1,3
457,theories of visual semiotics,theories of visual semiotics,1,2
458,theories of wittgenstein,theories of wittgenstein,1,3
459,theories of word meaning,theories of word meaning,1,2
460,theories of work society,theories of work society,1,2
461,theories of world,theories of world,1,3
462,"theories of writing \""",theories of writing,1,15
463,theories of writing focus,theories of writing focus,1,1
464,theories of writing provide,theories of writing provide,1,1
465,theorisation of post-regional approach,theorisation of post-regional approach,1,1
466,theorisations of browsing outlined,theorisations of browsing outlined,1,2
467,theorisations of models position,theorisations of models position,1,2
468,"theorist of \"" anti-patriarchal",theorist of anti-patriarchal,1,2
469,theorist of digital literature,theorist of digital literature,1,1
470,theorist of form of,theorist of form,1,2
471,theorist of hypertext,theorist of hypertext,1,3
472,theorist of mothering (,theorist of mothering,1,2
473,theorist of readerly visuality,theorist of readerly visuality,1,2
474,theorist of representative democracy,theorist of representative democracy,1,2
475,theorists of 1960s roland,theorists of 1960s roland,1,1
476,theorists of 1980s 1990s,theorists of 1980s 1990s,1,2
477,theorists of browsing offer,theorists of browsing offer,1,1
478,theorists of colloquial,theorists of colloquial,1,3
479,theorists of cybernetic era,theorists of cybernetic era,1,2
480,theorists of digital print,theorists of digital print,1,1
481,theorists of digital textuality,theorists of digital textuality,1,2
482,theorists of discipline ),theorists of discipline,1,2
483,theorists of electronic textuality,theorists of electronic textuality,1,2
484,theorists of field seems,theorists of field seems,1,2
485,theorists of held modernization,theorists of held modernization,1,2
486,theorists of hypermedia similarly,theorists of hypermedia similarly,1,1
487,theorists of hypertext,theorists of hypertext,1,3
488,theorists of information,theorists of information,1,3
489,theorists of language,theorists of language,1,5
490,theorists of last century,theorists of last century,1,2
491,theorists of literature .,theorists of literature,1,2
492,theorists of media technologies,theorists of media technologies,1,1
493,theorists of narrative developing,theorists of narrative developing,1,1
494,theorists of older,theorists of older,1,3
495,theorists of quest suggest,theorists of quest suggest,1,2
496,theorists of technology .,theorists of technology,1,4
497,theorists of technology adoption,theorists of technology adoption,1,1
498,theorists of text markup,theorists of text markup,1,2
499,theorists of theatrical archiving,theorists of theatrical archiving,1,1
500,theorists of theatrical text,theorists of theatrical text,1,1
501,theorists of tonal music,theorists of tonal music,1,1
502,theorists of transformation aharon,theorists of transformation aharon,1,1
503,theorists of twentieth-century new,theorists of twentieth-century new,1,1
504,theoriz-ers of hypertext .,theorizers of hypertext,1,2
505,theorization of archives .,theorization of archives,1,2
506,theorization of comics .,theorization of comics,1,3
507,theorization of concept of,theorization of concept,1,2
508,theorization of contingent problems,theorization of contingent problems,1,1
509,theorization of corpus building,theorization of corpus building,1,1
510,theorization of cybertext poetics,theorization of cybertext poetics,1,2
511,theorization of digital alchemy,theorization of digital alchemy,1,1
512,theorization of digital archives,theorization of digital archives,1,1
513,theorization of digital project,theorization of digital project,1,1
514,theorization of early modern,theorization of early modern,1,2
515,theorization of existing spaces,theorization of existing spaces,1,1
516,theorization of feminist digital,theorization of feminist digital,1,1
517,theorization of issues .,theorization of issues,1,2
518,theorization of object of,theorization of object,1,2
519,theorization of online archive,theorization of online archive,1,1
520,theorization of reading of,theorization of reading,1,2
521,theorization of relationship drawing,theorization of relationship drawing,1,2
522,theorization of rule-making rule-breaking,theorization of rule-making rule-breaking,1,1
523,theorization of user-friendly design,theorization of user-friendly design,1,1
524,theorizations of collaboration feminist,theorizations of collaboration feminist,1,1
525,theorizations of distributed cognition,theorizations of distributed cognition,1,2
526,theorizations of postmodern ',theorizations of postmodern,1,3
527,theorizations of relationship neuroanatomy,theorizations of relationship neuroanatomy,1,2
528,theorizations of utopia (,theorizations of utopia,1,2
529,theorizing of 1990s poetry,theorizing of 1990s poetry,1,2
530,theorizing of avatar must,theorizing of avatar must,1,1
531,theorizing of earlier chapters,theorizing of earlier chapters,1,1
532,theorizing of higher criticism,theorizing of higher criticism,1,2
533,theorizing of late 1990s,theorizing of late 1990s,1,2
534,theorizing of posthuman subject,theorizing of posthuman subject,1,2
535,theorizing of underlying process,theorizing of underlying process,1,1
536,theory of . NA,theory of .,1,34
537,theory of ' assumedly,theory of ' assumedly,1,1
538,theory of ' complex,theory of ' complex,1,1
539,theory of ' conceptual,theory of conceptual,1,4
540,theory of ' corporate,theory of ' corporate,1,1
541,theory of ' forms,theory of ' forms,1,7
542,theory of ' fuzzy,theory of ' fuzzy,1,7
543,theory of ' literary,theory of ' literary,1,14
544,theory of ' mutual,theory of ' mutual,1,1
545,theory of ' possible,theory of ' possible,1,1
546,theory of ' strategic,theory of ' strategic,1,1
547,theory of ' tacit,theory of ' tacit,1,1
548,theory of ' unity,theory of ' unity,1,2
549,"theory of \"" automated",theory of automated,1,2
550,"theory of \"" ergodic",theory of ergodic,1,2
551,"theory of \"" frames",theory of frames,1,2
552,"theory of \"" genius",theory of genius,1,2
553,"theory of \"" heteroglossia",theory of heteroglossia,1,2
554,"theory of \"" ideograph",theory of ideograph,1,2
555,"theory of \"" rhetorical",theory of  rhetorical,1,3
556,"theory of \"" romantic",theory of romantic,1,1
557,"theory of \"" strong",theory of strong,1,2
558,"theory of \"" tiny",theory of tiny,1,1
559,"theory of \"" transition",theory of transition,1,2
560,"theory of \"" trend",theory of trend,1,1
561,theory of ( automated,theory of automated,1,2
562,theory of ( mental,theory of mental,1,2
563,theory of 1817 firmly,theory of 1817 firmly,1,1
564,theory of 1817 role,theory of 1817 role,1,2
565,theory of 1940s lies,theory of 1940s lies,1,2
566,theory of 1965 undergone,theory of 1965 undergone,1,1
567,theory of accent recognizes,theory of accent recognizes,1,1
568,theory of acousmatics,theory of acousmatics,1,3
569,theory of acquaintance,theory of acquaintance,1,3
570,theory of acquisition of,theory of acquisition,1,2
571,theory of aesthetic .,theory of aesthetic,1,6
572,theory of affordance perceptual,theory of affordance perceptual,1,1
573,theory of algorithmic computation,theory of algorithmic computation,1,2
574,theory of alienation of,theory of alienation,1,2
575,theory of allusion espen,theory of allusion espen,1,1
576,theory of american sign,theory of american sign,1,1
577,theory of analogy .,theory of analogy,1,2
578,theory of animals .,theory of animals,1,2
579,theory of animating power,theory of animating power,1,2
580,theory of annotation,theory of annotation,1,3
581,theory of anything intellectual,theory of anything intellectual,1,1
582,theory of applications different,theory of applications different,1,1
583,theory of arithmetic .,theory of arithmetic,1,2
584,theory of art,theory of art,1,3
585,theory of arts related,theory of arts related,1,1
586,theory of authorship marlowe,theory of authorship marlowe,1,1
587,theory of authorship of,theory of authorship,1,11
588,theory of authorship shakespeare,theory of authorship shakespeare,1,4
589,theory of automata .,theory of automata,1,4
590,theory of automata formal,theory of automata formal,1,1
591,theory of automatic signal,theory of automatic signal,1,1
592,theory of ballad tradition,theory of ballad tradition,1,2
593,theory of baudrillard,theory of baudrillard,1,3
594,theory of belief must,theory of belief must,1,1
595,theory of browsing [,theory of browsing,1,2
596,theory of building virtual,theory of building virtual,1,1
597,theory of c .,theory of c,1,3
598,theory of c l,theory of c l,1,1
599,theory of c:m ratios,theory of c:m ratios,1,2
600,theory of call .,theory of call,1,2
601,"theory of called \""",theory of called,1,2
602,theory of canonical reference,theory of canonical reference,1,1
603,theory of case grammar,theory of case grammar,1,2
604,theory of category paradigm,theory of category paradigm,1,2
605,theory of ceccato,theory of ceccato,1,3
606,theory of central places,theory of central places,1,2
607,theory of change arts,theory of change arts,1,2
608,theory of change-point statistics,theory of change-point statistics,1,1
609,theory of characters based,theory of characters based,1,1
610,theory of christaller,theory of christaller,1,3
611,theory of chronometry,theory of chronometry,1,3
612,theory of class-based writing,theory of class-based writing,1,2
613,theory of clause grammar,theory of clause grammar,1,1
614,theory of co-creation integral,theory of co-creation integral,1,1
615,theory of cognition developed,theory of cognition developed,1,1
616,theory of cognition offers,theory of cognition offers,1,1
617,theory of cognitive dissonance,theory of cognitive dissonance,1,2
618,theory of cognitive thematic,theory of cognitive thematic,1,1
619,theory of collection appropriate,theory of collection appropriate,1,1
620,theory of collective action,theory of collective action,1,2
621,theory of collective intelligence,theory of collective intelligence,1,1
622,theory of collision of,theory of collision,1,2
623,theory of color .,theory of color,1,2
624,theory of colors (,theory of colors,1,2
625,theory of comic arising,theory of comic arising,1,2
626,theory of communication -,theory of communication,1,20
627,"theory of communication \""",theory of communication,1,20
628,theory of communication (,theory of communication,1,20
629,theory of communication hard,theory of communication hard,1,2
630,theory of communication presupposes,theory of communication presupposes,1,2
631,theory of communications rooted,theory of communications rooted,1,1
632,theory of community organizing,theory of community organizing,1,2
633,theory of composition based,theory of composition based,1,1
634,theory of composition describes,theory of composition describes,1,1
635,theory of composition instruction,theory of composition instruction,1,1
636,theory of comprehension .,theory of comprehension,1,2
637,theory of computability ;,theory of computability,1,3
638,theory of computability applies,theory of computability applies,1,2
639,theory of computation,theory of computation,1,12
640,theory of computation (,theory of computation,1,12
641,theory of computation specification,theory of computation specification,1,2
642,theory of computational complexity,theory of computational complexity,1,2
643,theory of computational shape-perception,theory of computational shape-perception,1,1
644,theory of computer games,theory of computer games,1,1
645,theory of computer sydney,theory of computer sydney,1,1
646,theory of computer theatre,theory of computer theatre,1,2
647,theory of computing .,theory of computing,1,2
648,theory of concept critique,theory of concept critique,1,2
649,theory of conceptual analysis,theory of conceptual analysis,1,1
650,theory of conceptual dependency,theory of conceptual dependency,1,2
651,theory of conceptual metaphor,theory of ' conceptual metaphor,1,2
652,theory of concordance making,theory of concordance making,1,1
653,"theory of concordances \""",theory of concordances,1,3
654,theory of conditions required,theory of conditions required,1,1
655,theory of conjecture desideratum,theory of conjecture desideratum,1,2
656,theory of consciousness terms,theory of consciousness terms,1,2
657,theory of conservation (,theory of conservation,1,2
658,theory of constant-recording camera,theory of constant-recording camera,1,2
659,theory of constitutes influence,theory of constitutes influence,1,2
660,theory of constitutes narrative,theory of constitutes narrative,1,1
661,theory of contemporary digital,theory of contemporary digital,1,1
662,theory of context-free languages,theory of context-free languages,1,2
663,theory of conversation,theory of conversation,1,3
664,theory of conversational narratives,theory of conversational narratives,1,1
665,theory of conversational networks,theory of conversational networks,1,2
666,theory of cooperative behavior,theory of cooperative behavior,1,1
667,theory of copy-text ',theory of copy-text,1,3
668,theory of creativity can,theory of creativity can,1,1
669,theory of critical elections,theory of critical elections,1,2
670,theory of criticism,theory of criticism,1,3
671,theory of cultural identities,theory of cultural identities,1,1
672,theory of cultural studies,theory of cultural studies,1,1
673,theory of culture,theory of culture,1,3
674,theory of data,theory of data,1,4
675,theory of data manipulation,theory of data manipulation,1,1
676,theory of deliberative communication,theory of deliberative communication,1,1
677,theory of descriptive esthetics,theory of descriptive esthetics,1,2
678,theory of desire,theory of desire,1,3
679,theory of determinants .,theory of determinants,1,3
680,theory of determinants put,theory of determinants put,1,1
681,theory of development of,theory of development,1,2
682,theory of deviant word,theory of deviant word,1,2
683,theory of deviser,theory of deviser,1,3
684,theory of differential equations,theory of differential equations,1,1
685,theory of diffusion helps,theory of diffusion helps,1,1
686,theory of digital media,theory of digital media,1,2
687,theory of digital reading,theory of digital reading,1,1
688,theory of digital text,theory of digital text,1,2
689,theory of directed perception,theory of directed perception,1,2
690,theory of discourse .,theory of discourse,1,17
691,theory of discourse (,theory of discourse,1,17
692,theory of discourse proceeds,theory of discourse proceeds,1,1
693,theory of discourse processing,theory of discourse processing,1,2
694,theory of discourse structures,theory of discourse structures,1,4
695,theory of disruptive innovation,theory of disruptive innovation,1,2
696,theory of distant viewing,theory of distant viewing,1,2
697,theory of doctor,theory of doctor,1,3
698,theory of documentation,theory of documentation,1,3
699,theory of domain,theory of domain,1,4
700,theory of domain actually,theory of domain actually,1,2
701,theory of drama underlies,theory of drama underlies,1,1
702,theory of dramatic narrative,theory of dramatic narrative,1,2
703,theory of dreams,theory of dreams,1,3
704,theory of dynamic systems,theory of dynamic systems,1,2
705,theory of dynamic unstable,theory of dynamic unstable,1,1
706,theory of dynamical systems,theory of dynamical systems,1,2
707,theory of ecological perception,theory of ecological perception,1,1
708,theory of economic-demographic relations,theory of economic-demographic relations,1,1
709,theory of economy based,theory of economy based,1,2
710,theory of editing different,theory of editing different,1,1
711,theory of editions points,theory of editions points,1,1
712,theory of educational moos,theory of educational moos,1,2
713,theory of either .,theory of either,1,2
714,theory of elections peter,theory of elections peter,1,1
715,theory of electromagnetism,theory of electromagnetism,1,4
716,theory of electromagnetism reality,theory of electromagnetism reality,1,2
717,theory of electronic literature,theory of electronic literature,1,2
718,theory of electronic textuality,theory of electronic textuality,1,3
719,theory of embodied music,theory of embodied music,1,1
720,theory of embodiment ',theory of embodiment,1,3
721,theory of emotions formulated,theory of emotions formulated,1,1
722,theory of enargeia thus,theory of enargeia thus,1,1
723,theory of engineering of,theory of engineering,1,2
724,theory of english nominalization,theory of english nominalization,1,2
725,theory of english word,theory of english word,1,2
726,theory of ergodic literature,theory of  ergodic literature,1,2
727,theory of essentially ',theory of essentially,1,2
728,theory of evaluation .,theory of evaluation,1,2
729,theory of event structure,theory of event structure,1,2
730,"theory of everything \""",theory of everything,1,9
731,theory of evolution .,theory of evolution,1,18
732,theory of evolution exerted,theory of evolution exerted,1,1
733,theory of evolution face,theory of evolution face,1,2
734,theory of evolution technological,theory of evolution technological,1,1
735,theory of extended texts,theory of extended texts,1,2
736,theory of feature structures,theory of feature structures,1,2
737,theory of feedback poetry,theory of feedback poetry,1,2
738,theory of fictionality parallels,theory of fictionality parallels,1,1
739,theory of field,theory of field,1,3
740,theory of finite sequence,theory of finite sequence,1,1
741,theory of finite state,theory of finite state,1,1
742,theory of first-generation e-texts,theory of first-generation e-texts,1,2
743,theory of folktale structure,theory of folktale structure,1,2
744,theory of foregrounding,theory of foregrounding,1,3
745,theory of formal grammars,theory of formal grammars,1,1
746,theory of formalism,theory of formalism,1,3
747,theory of formalization proof,theory of formalization proof,1,2
748,theory of forms (,theory of ' forms,1,7
749,theory of forms concomitant,theory of forms concomitant,1,1
750,theory of forms needs,theory of forms needs,1,1
751,theory of forms strong,theory of forms strong,1,1
752,theory of four causes,theory of four causes,1,2
753,theory of frame semantics,theory of frame semantics,1,1
754,theory of frequent .,theory of frequent,1,3
755,theory of functional sentence,theory of functional sentence,1,1
756,theory of game ',theory of game,1,2
757,theory of games .,theory of games,1,15
758,theory of games ',theory of games,1,15
759,theory of games developed,theory of games developed,1,1
760,theory of gaming,theory of gaming,1,3
761,theory of gendered authorship,theory of gendered authorship,1,1
762,theory of generalized phrase,theory of generalized phrase,1,1
763,theory of genre,theory of genre,1,3
764,theory of genres prototypes,theory of genres prototypes,1,1
765,theory of grammar advocates,theory of grammar advocates,1,2
766,theory of grammar applicable,theory of grammar applicable,1,1
767,theory of grammar linguistic,theory of grammar linguistic,1,1
