,ns,title,pageid,size,wordcount,snippet,timestamp,query_string
1,14.0,Category:Theorem proving software systems,14417843.0,152.0,4.0,"See automated <span class=""searchmatch"">theorem</span> proving.",2013-04-16T11:31:00Z,theorem of '
2,14.0,Category:Isomorphism theorems,11569620.0,725.0,84.0,"field <span class=""searchmatch"">of</span> abstract algebra, the isomorphism <span class=""searchmatch"">theorems</span> consist <span class=""searchmatch"">of</span> three (or sometimes four) <span class=""searchmatch"">theorems</span> describing the structure <span class=""searchmatch"">of</span> homomorphisms <span class=""searchmatch"">of</span> many different",2017-03-25T15:59:18Z,theorem of '
3,14.0,Category:Mathematical proofs,34560653.0,828.0,83.0,"only proofs (<span class=""searchmatch"">of</span> claims made in other articles) should be placed in the subcategory Category:Article proofs. Pages which contain <span class=""searchmatch"">theorems</span> and their proofs",2019-09-13T00:21:43Z,theorem of '
4,14.0,Category:Circuit theorems,11147264.0,114.0,4.0,"List <span class=""searchmatch"">of</span> circuit <span class=""searchmatch"">theorems</span>.",2021-04-07T16:07:21Z,theorem of '
5,14.0,Category:Lemmas,1962798.0,237.0,28.0,"mathematics, a lemma is an auxiliary <span class=""searchmatch"">theorem</span> which is typically used as a stepping stone to prove a bigger <span class=""searchmatch"">theorem</span>. See lemma for a more detailed explanation",2020-12-20T21:24:10Z,theorem of '
6,14.0,Category:Economics theorems,1650607.0,156.0,6.0,"This category includes <span class=""searchmatch"">theorems</span> in economics.",2017-06-19T06:08:18Z,theorem of '
7,14.0,Category:Theorems in the foundations of mathematics,33454664.0,343.0,23.0,"This category includes <span class=""searchmatch"">theorems</span> on the foundational aspects <span class=""searchmatch"">of</span> mathematics, including: mathematical logic, model theory, set theory, some general topology",2020-10-10T22:43:50Z,theorem of '
8,14.0,Category:Compactness theorems,17363154.0,263.0,21.0,"mathematics, specifically in topology and functional analysis, compactness <span class=""searchmatch"">theorems</span> provide necessary or sufficient conditions for the compactness <span class=""searchmatch"">of</span> a set.",2013-03-29T15:42:56Z,theorem of '
9,14.0,Category:Theorems in general relativity,4269800.0,231.0,11.0,"This category holds articles about important named <span class=""searchmatch"">theorems</span> concerning general relativity.",2013-03-30T21:09:45Z,theorem of '
0,14.0,Category:Theorems in the foundations of mathematics,33454664.0,343.0,23.0,"This category includes <span class=""searchmatch"">theorems</span> on the foundational aspects <span class=""searchmatch"">of</span> mathematics, including: mathematical logic, model theory, set theory, some general topology",2020-10-10T22:43:50Z,theorems of foundations
1,14.0,Category:Lemmas in set theory,65738211.0,77.0,0.0,,2021-02-21T00:41:04Z,theorems of foundations
0,14.0,Category:Isomorphism theorems,11569620.0,725.0,84.0,"types <span class=""searchmatch"">of</span> algebraic structures. These <span class=""searchmatch"">theorems</span> are generalizations <span class=""searchmatch"">of</span> some <span class=""searchmatch"">of</span> the fundamental ideas from linear algebra, notably the rank–nullity <span class=""searchmatch"">theorem</span>, and",2017-03-25T15:59:18Z,theorems of theory
1,14.0,Category:Theorems,693699.0,773.0,89.0,"Please also observe that a <span class=""searchmatch"">theorem</span> is distinct from a <span class=""searchmatch"">theory</span>. A lemma is conceptually the same as a <span class=""searchmatch"">theorem</span>. However a <span class=""searchmatch"">theorem</span> is called a lemma when its",2020-09-17T12:03:49Z,theorems of theory
2,14.0,Category:Theorems in the foundations of mathematics,33454664.0,343.0,23.0,"This category includes <span class=""searchmatch"">theorems</span> on the foundational aspects <span class=""searchmatch"">of</span> mathematics, including: mathematical logic, model <span class=""searchmatch"">theory</span>, set <span class=""searchmatch"">theory</span>, some general topology",2020-10-10T22:43:50Z,theorems of theory
3,14.0,Category:Geometric transversal theory,29450412.0,2012.0,156.0,"Helly-type <span class=""searchmatch"">theorems</span> and geometric transversal <span class=""searchmatch"">theory</span>; see 52A35 at MathSciNet and 52A35 at zbMATH. In mathematics, geometrical transversal <span class=""searchmatch"">theory</span> is a subfield",2021-09-03T02:13:38Z,theorems of theory
4,14.0,Category:Scientific theories,21991760.0,443.0,29.0,"Scientific <span class=""searchmatch"">theories</span> are distinguished from philosophical <span class=""searchmatch"">theories</span> in that each <span class=""searchmatch"">of</span> their <span class=""searchmatch"">theorems</span> are statements about observable data, whereas a philosophical",2021-04-29T07:46:21Z,theorems of theory
5,14.0,Category:Mathematical proofs,34560653.0,828.0,83.0,"only proofs (<span class=""searchmatch"">of</span> claims made in other articles) should be placed in the subcategory Category:Article proofs. Pages which contain <span class=""searchmatch"">theorems</span> and their proofs",2019-09-13T00:21:43Z,theorems of theory
6,14.0,Category:Analytic number theory,694968.0,329.0,39.0,"Analytic number <span class=""searchmatch"">theory</span> is the branch <span class=""searchmatch"">of</span> number <span class=""searchmatch"">theory</span> that uses methods from mathematical analysis. Its first major success was the application <span class=""searchmatch"">of</span> complex analysis",2014-12-20T16:47:23Z,theorems of theory
7,14.0,Category:Theorems in theory of computation,46305686.0,123.0,0.0,,2015-04-03T13:52:03Z,theorems of theory
8,14.0,Category:Theorems in group theory,34557080.0,82.0,0.0,,2013-03-22T14:02:56Z,theorems of theory
9,14.0,Category:Theorems in representation theory,34602685.0,163.0,0.0,,2013-02-03T21:21:39Z,theorems of theory
0,14.0,Category:Academic and Scientific Publishing academic journals,58736909.0,1411.0,152.0,"this could change in the future. &quot;Beall's List <span class=""searchmatch"">of</span> Predatory Journals and Publishers&quot;. Beall's List <span class=""searchmatch"">of</span> Predatory Journals and Publishers. Archived from",2021-06-04T20:17:50Z,theoretical of essays
1,14.0,Category:Science and Technology Publishing academic journals,58737051.0,1019.0,143.0,"this could change in the future. &quot;Beall's List <span class=""searchmatch"">of</span> Predatory Journals and Publishers&quot;. Beall's List <span class=""searchmatch"">of</span> Predatory Journals and Publishers. Retrieved 5 October",2020-10-05T00:00:45Z,theoretical of essays
0,14.0,Category:Signalism,43106709.0,465.0,38.0,"in Serbian culture, in the former Yugoslavia in the late 1960's and the beginning <span class=""searchmatch"">of</span> 1970's. Its founder and main <span class=""searchmatch"">theoretician</span> was Miroljub Todorović.",2020-03-22T13:10:52Z,theoreticians of literature
0,14.0,Category:Theories of history,4220365.0,268.0,50.0,"<span class=""searchmatch"">Theories</span> <span class=""searchmatch"">of</span> history are <span class=""searchmatch"">theories</span> for why things happened the way they did (and possibly what that means for the future). Top 0–9 A B C D E F G H I J K",2020-04-30T20:24:56Z,theories of '
1,14.0,Category:Sociological theories,6220146.0,524.0,62.0,"interdisciplinary <span class=""searchmatch"">theories</span> and paradigms. For the different variants <span class=""searchmatch"">of</span> <span class=""searchmatch"">theories</span> or paradigms, please see its individual sub-category. For philosophical <span class=""searchmatch"">theories</span> about",2021-10-01T00:23:28Z,theories of '
2,14.0,Category:Conspiracy theories,874184.0,686.0,49.0,"Articles relating to conspiracy <span class=""searchmatch"">theories</span>, explanations for events or situations that invoke a conspiracy by sinister and powerful groups, often political",2021-08-14T09:52:56Z,theories of '
3,14.0,Category:Scientific theories,21991760.0,443.0,29.0,"Scientific <span class=""searchmatch"">theories</span> are distinguished from philosophical <span class=""searchmatch"">theories</span> in that each <span class=""searchmatch"">of</span> their theorems are statements about observable data, whereas a philosophical",2021-04-29T07:46:21Z,theories of '
4,14.0,Category:Philosophical theories,2649129.0,405.0,58.0,"Philosophical <span class=""searchmatch"">theories</span>, views that attempt to explain or account for a particular problem in philosophy. See also Glossary <span class=""searchmatch"">of</span> philosophy and List <span class=""searchmatch"">of</span> philosophies",2020-12-17T21:58:05Z,theories of '
5,14.0,Category:Theories,1963117.0,368.0,36.0,"A <span class=""searchmatch"">theory</span> provides an explanatory framework for some observation, and from the assumptions <span class=""searchmatch"">of</span> the explanation follows a number <span class=""searchmatch"">of</span> possible hypotheses that",2020-07-26T11:44:39Z,theories of '
6,14.0,Category:Fringe theories,27280502.0,211.0,22.0,"Fringe <span class=""searchmatch"">theories</span>, ideas or viewpoints which differ from the accepted scholarship in their field. For fringe <span class=""searchmatch"">theory</span> in general, see Category:Fringe <span class=""searchmatch"">theory</span>.",2020-12-12T15:50:32Z,theories of '
7,14.0,Category:Fringe theory,24080755.0,693.0,89.0,"pseudoscience (ideas that purport to be scientific <span class=""searchmatch"">theories</span> but have little or no scientific support), conspiracy <span class=""searchmatch"">theories</span>, unproven claims about alternative medicine",2018-01-14T16:08:10Z,theories of '
8,14.0,Category:Death conspiracy theories,38840997.0,914.0,141.0,"<span class=""searchmatch"">theories</span> about the deaths <span class=""searchmatch"">of</span> individuals. This category is for articles about deaths, or decedents, where a single official verdict on the cause <span class=""searchmatch"">of</span> death",2021-01-18T21:12:48Z,theories of '
9,14.0,Category:Political science theories,6501353.0,209.0,7.0,"Articles relating to <span class=""searchmatch"">theories</span> in political science.",2018-04-02T20:46:14Z,theories of '
0,14.0,Category:New Urbanism,1021073.0,1299.0,153.0,"<span class=""searchmatch"">of</span> jobs and housing. They believe these strategies are the best way to reduce the time people spend in traffic, to increase the supply <span class=""searchmatch"">of</span> <span class=""searchmatch"">affordable</span> housing",2020-10-02T21:05:10Z,theories of affordance
0,14.0,Category:Anarcho-capitalists,3444220.0,632.0,64.0,"states in favor <span class=""searchmatch"">of</span> a system <span class=""searchmatch"">of</span> private property enforced by private <span class=""searchmatch"">agencies</span>, free markets and the right-libertarian interpretation <span class=""searchmatch"">of</span> self-ownership,",2021-09-04T07:50:08Z,theories of agency
1,14.0,Category:Humanism,891562.0,585.0,34.0,"Humanism is a philosophical and ethical stance that emphasizes the value and <span class=""searchmatch"">agency</span> <span class=""searchmatch"">of</span> human beings, individually and collectively, and generally prefers critical",2019-07-19T20:03:11Z,theories of agency
2,14.0,Category:American anarcho-capitalists,50957765.0,580.0,55.0,"by private <span class=""searchmatch"">agencies</span>, free markets and the right-libertarian interpretation <span class=""searchmatch"">of</span> self-ownership, which extends the concept to include control <span class=""searchmatch"">of</span> private property",2021-09-04T07:54:30Z,theories of agency
0,14.0,Category:WikiProject Game theory participants,19079865.0,12081.0,1415.0,"science working on controlling behavior <span class=""searchmatch"">of</span> multi-<span class=""searchmatch"">agent</span> systems by using market-oriented programming and game <span class=""searchmatch"">theory</span>. ap0ught (talk) Muchris 14:13, 22 March",2021-08-01T19:06:59Z,theories of agent
1,14.0,Category:Rationality theorists,22270715.0,461.0,54.0,"their disparity <span class=""searchmatch"">of</span> professional origins, they all are concerned with the explicit development <span class=""searchmatch"">of</span> <span class=""searchmatch"">theories</span> <span class=""searchmatch"">of</span> rationality. The <span class=""searchmatch"">theories</span> <span class=""searchmatch"">of</span> rationality typically",2011-08-14T23:54:46Z,theories of agent
2,14.0,Category:Economy,47397287.0,931.0,73.0,"to economy, an area <span class=""searchmatch"">of</span> the production, distribution and trade, as well as consumption <span class=""searchmatch"">of</span> goods and services by different <span class=""searchmatch"">agents</span>. In general, it is defined",2021-08-04T09:54:58Z,theories of agent
3,14.0,Category:Research and Knowledge Publication academic journals,58737189.0,1026.0,144.0,"this could change in the future. &quot;Beall's List <span class=""searchmatch"">of</span> Predatory Journals and Publishers&quot;. Beall's List <span class=""searchmatch"">of</span> Predatory Journals and Publishers. Retrieved 5 October",2020-10-05T00:00:20Z,theories of agent
4,14.0,Category:Asian and American Research Publishing Group academic journals,58737572.0,1036.0,145.0,"this could change in the future. &quot;Beall's List <span class=""searchmatch"">of</span> Predatory Journals and Publishers&quot;. Beall's List <span class=""searchmatch"">of</span> Predatory Journals and Publishers. Retrieved 5 October",2020-10-05T00:04:34Z,theories of agent
0,14.0,Category:Turing machine,25362465.0,314.0,0.0,,2019-09-13T00:47:05Z,theories of alan
0,14.0,Category:Early modern Netherlandish cartography,64095581.0,817.0,16.0,"cosmography Depictions in art1 The Art of Painting (c. 1666–68) The <span class=""searchmatch"">Allegory</span> <span class=""searchmatch"">of</span> Faith (c. 1670–72) The Geographer (c. 1668) The Astronomer (c. 1668)",2021-10-05T00:41:18Z,theories of allegory
0,14.0,Category:Critics of the Christ myth theory,55606186.0,145.0,13.0,"This category includes <span class=""searchmatch"">authors</span> and scholars who have criticized the Christ myth <span class=""searchmatch"">theory</span>.",2017-10-23T19:52:43Z,theories of authorial
1,14.0,Category:Christ myth theory,22736458.0,614.0,16.0,"This category includes articles on <span class=""searchmatch"">authors</span> and articles associated with the Christ myth <span class=""searchmatch"">theory</span>. Category:Conspiracy <span class=""searchmatch"">theories</span>",2021-12-03T17:31:19Z,theories of authorial
2,14.0,Category:Christ myth theory proponents,52697721.0,320.0,12.0,"This category includes <span class=""searchmatch"">authors</span> and scholars associated with the Christ myth <span class=""searchmatch"">theory</span>.",2021-12-03T17:48:36Z,theories of authorial
3,14.0,Category:Shakespeare authorship question,31868239.0,956.0,76.0,"alternative-authorship <span class=""searchmatch"">theories</span>—believe that Shakespeare <span class=""searchmatch"">of</span> Stratford was a front to shield the identity <span class=""searchmatch"">of</span> the real <span class=""searchmatch"">author</span> or <span class=""searchmatch"">authors</span>, who for some reason—usually",2021-01-05T12:23:39Z,theories of authorial
4,14.0,Category:Marxist theorists,906050.0,411.0,66.0,"list <span class=""searchmatch"">of</span> those who contributed to Marxist <span class=""searchmatch"">theory</span>, principally as <span class=""searchmatch"">authors</span>; it is not intended to list politicians who happen(ed) to be a member <span class=""searchmatch"">of</span> a nominally",2020-10-02T21:53:33Z,theories of authorial
5,14.0,Category:MMR vaccine and autism,61409152.0,2761.0,262.0,"caused by vaccines, the historical and ongoing controversy and conspiracy <span class=""searchmatch"">theories</span> generated around the claim, and publications investigating and debunking",2021-05-06T03:24:23Z,theories of authorial
6,14.0,Category:Counter-jihad,51005993.0,534.0,37.0,"Counter-jihad is a self-titled political current loosely consisting <span class=""searchmatch"">of</span> <span class=""searchmatch"">authors</span>, bloggers, think tanks, street movements and campaign organisations all",2021-10-22T10:01:03Z,theories of authorial
0,14.0,Category:Shakespeare authorship question,31868239.0,956.0,76.0,"for adherents <span class=""searchmatch"">of</span> the various alternative-<span class=""searchmatch"">authorship</span> <span class=""searchmatch"">theories</span>—believe that Shakespeare <span class=""searchmatch"">of</span> Stratford was a front to shield the identity <span class=""searchmatch"">of</span> the real author",2021-01-05T12:23:39Z,theories of authorship
1,14.0,Category:Baconian theory of Shakespeare authorship,38942921.0,171.0,0.0,"Wikimedia Commons has media related to Baconian <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> Shakespeare <span class=""searchmatch"">authorship</span>.",2018-04-01T17:07:26Z,theories of authorship
2,14.0,Category:Derbyite theory of Shakespeare authorship,38942920.0,58.0,0.0,,2013-03-28T04:08:40Z,theories of authorship
3,14.0,Category:Marlovian theory of Shakespeare authorship,38942901.0,129.0,0.0,,2013-08-02T04:54:48Z,theories of authorship
4,14.0,Category:Oxfordian theory of Shakespeare authorship,38942906.0,58.0,0.0,,2013-03-28T04:06:24Z,theories of authorship
5,14.0,Category:Shakespeare authorship theories,38114214.0,99.0,0.0,,2014-05-20T00:27:14Z,theories of authorship
6,14.0,Category:Protocols of the Elders of Zion,10895148.0,532.0,10.0,"Articles related to The Protocols <span class=""searchmatch"">of</span> the Elders <span class=""searchmatch"">of</span> Zion.",2021-09-29T06:56:07Z,theories of authorship
0,14.0,Category:Popular psychology,1056200.0,378.0,58.0,"The term popular psychology refers to concepts and <span class=""searchmatch"">theories</span> about human mental life and <span class=""searchmatch"">behaviour</span> that are purportedly based on psychology and that attain",2020-12-04T06:30:43Z,theories of behaviour
1,14.0,Category:Wikipedia sockpuppets of PoIiTheoryNerd22,68745167.0,167.0,30.0,"{{Sockpuppet|PoIi<span class=""searchmatch"">Theory</span>Nerd22|confirmed}} if confirmed by a checkuser or {{Sockpuppet|PoIi<span class=""searchmatch"">Theory</span>Nerd22|proven}} if the <span class=""searchmatch"">behavioural</span> evidence makes the",2021-09-17T10:07:39Z,theories of behaviour
2,14.0,Category:Wikipedia sockpuppets of Freedom5000,29752427.0,903.0,142.0,"if the <span class=""searchmatch"">behavioural</span> evidence makes the link beyond reasonable doubt. See also Category:Suspected Wikipedia sockpuppets <span class=""searchmatch"">of</span> Freedom5000 Wikidrips",2015-11-29T17:51:14Z,theories of behaviour
3,14.0,Category:Dynamical systems,877149.0,631.0,91.0,"orbits as well as the <span class=""searchmatch"">behaviour</span> <span class=""searchmatch"">of</span> electronic circuits and the solutions to partial differential equations that arise in biology. Much <span class=""searchmatch"">of</span> modern research is",2020-12-21T13:08:25Z,theories of behaviour
4,14.0,Category:Consumer theory,5043695.0,142.0,0.0,"Wikimedia Commons has media related to Consumer <span class=""searchmatch"">theory</span>.",2020-08-29T20:49:25Z,theories of behaviour
5,14.0,Category:American Research Publications academic journals,58737122.0,1022.0,143.0,"this could change in the future. &quot;Beall's List <span class=""searchmatch"">of</span> Predatory Journals and Publishers&quot;. Beall's List <span class=""searchmatch"">of</span> Predatory Journals and Publishers. Retrieved 5 October",2020-10-04T23:57:19Z,theories of behaviour
6,14.0,Category:European Union Research Publishing academic journals,58737349.0,1023.0,143.0,"this could change in the future. &quot;Beall's List <span class=""searchmatch"">of</span> Predatory Journals and Publishers&quot;. Beall's List <span class=""searchmatch"">of</span> Predatory Journals and Publishers. Retrieved 5 October",2020-10-04T23:58:21Z,theories of behaviour
7,14.0,Category:Eurasian Research Publishing academic journals,58737295.0,1014.0,142.0,"this could change in the future. &quot;Beall's List <span class=""searchmatch"">of</span> Predatory Journals and Publishers&quot;. Beall's List <span class=""searchmatch"">of</span> Predatory Journals and Publishers. Retrieved 5 October",2020-10-04T23:58:07Z,theories of behaviour
8,14.0,Category:Academic Knowledge and Research Publishing academic journals,58737239.0,1031.0,144.0,"this could change in the future. &quot;Beall's List <span class=""searchmatch"">of</span> Predatory Journals and Publishers&quot;. Beall's List <span class=""searchmatch"">of</span> Predatory Journals and Publishers. Retrieved 5 October",2020-10-04T23:57:00Z,theories of behaviour
9,14.0,Category:North American Research Publishing academic journals,58737400.0,1029.0,144.0,"this could change in the future. &quot;Beall's List <span class=""searchmatch"">of</span> Predatory Journals and Publishers&quot;. Beall's List <span class=""searchmatch"">of</span> Predatory Journals and Publishers. Retrieved 5 October",2020-10-04T23:59:40Z,theories of behaviour
0,14.0,Category:Holonomic brain theory,8848620.0,246.0,29.0,"Holonomic <span class=""searchmatch"">brain</span> <span class=""searchmatch"">theory</span> is the employ <span class=""searchmatch"">of</span> <span class=""searchmatch"">theories</span>/concepts utilizing holographic structures with the vision that such may lead to a unified understanding <span class=""searchmatch"">of</span> consciousness",2015-05-09T08:20:10Z,theories of brain
1,14.0,Category:Scientific & Academic Publishing academic journals,58822931.0,923.0,117.0,"this could change in the future. &quot;Beall's List <span class=""searchmatch"">of</span> Predatory Journals and Publishers&quot;. Beall's List <span class=""searchmatch"">of</span> Predatory Journals and Publishers. Retrieved 19",2020-10-05T00:01:04Z,theories of brain
2,14.0,Category:Academic and Scientific Publishing academic journals,58736909.0,1411.0,152.0,"this could change in the future. &quot;Beall's List <span class=""searchmatch"">of</span> Predatory Journals and Publishers&quot;. Beall's List <span class=""searchmatch"">of</span> Predatory Journals and Publishers. Archived from",2021-06-04T20:17:50Z,theories of brain
3,14.0,Category:Science and Technology Publishing academic journals,58737051.0,1019.0,143.0,"this could change in the future. &quot;Beall's List <span class=""searchmatch"">of</span> Predatory Journals and Publishers&quot;. Beall's List <span class=""searchmatch"">of</span> Predatory Journals and Publishers. Retrieved 5 October",2020-10-05T00:00:45Z,theories of brain
4,14.0,Category:American Research Publications academic journals,58737122.0,1022.0,143.0,"this could change in the future. &quot;Beall's List <span class=""searchmatch"">of</span> Predatory Journals and Publishers&quot;. Beall's List <span class=""searchmatch"">of</span> Predatory Journals and Publishers. Retrieved 5 October",2020-10-04T23:57:19Z,theories of brain
5,14.0,Category:Canadian Research Publication academic journals,58659464.0,1015.0,142.0,"this could change in the future. &quot;Beall's List <span class=""searchmatch"">of</span> Predatory Journals and Publishers&quot;. Beall's List <span class=""searchmatch"">of</span> Predatory Journals and Publishers. Retrieved 5 October",2020-10-04T23:57:50Z,theories of brain
6,14.0,Category:European Union Research Publishing academic journals,58737349.0,1023.0,143.0,"this could change in the future. &quot;Beall's List <span class=""searchmatch"">of</span> Predatory Journals and Publishers&quot;. Beall's List <span class=""searchmatch"">of</span> Predatory Journals and Publishers. Retrieved 5 October",2020-10-04T23:58:21Z,theories of brain
7,14.0,Category:Eurasian Research Publishing academic journals,58737295.0,1014.0,142.0,"this could change in the future. &quot;Beall's List <span class=""searchmatch"">of</span> Predatory Journals and Publishers&quot;. Beall's List <span class=""searchmatch"">of</span> Predatory Journals and Publishers. Retrieved 5 October",2020-10-04T23:58:07Z,theories of brain
8,14.0,Category:Academic Knowledge and Research Publishing academic journals,58737239.0,1031.0,144.0,"this could change in the future. &quot;Beall's List <span class=""searchmatch"">of</span> Predatory Journals and Publishers&quot;. Beall's List <span class=""searchmatch"">of</span> Predatory Journals and Publishers. Retrieved 5 October",2020-10-04T23:57:00Z,theories of brain
9,14.0,Category:North American Research Publishing academic journals,58737400.0,1029.0,144.0,"this could change in the future. &quot;Beall's List <span class=""searchmatch"">of</span> Predatory Journals and Publishers&quot;. Beall's List <span class=""searchmatch"">of</span> Predatory Journals and Publishers. Retrieved 5 October",2020-10-04T23:59:40Z,theories of brain
0,14.0,Category:Geometric flow,14617545.0,577.0,55.0,"intrinsic curvature. These are <span class=""searchmatch"">of</span> fundamental interest in the <span class=""searchmatch"">calculus</span> <span class=""searchmatch"">of</span> variations, and include several famous problems and <span class=""searchmatch"">theories</span>. Particularly interesting",2017-12-02T13:42:20Z,theories of calculus
1,14.0,Category:Elementary mathematics,1754928.0,379.0,24.0,"mathematics encompasses topics from algebra, analysis, arithmetic, <span class=""searchmatch"">calculus</span>, geometry and number <span class=""searchmatch"">theory</span> that are frequently taught at the primary or secondary school",2019-09-14T14:12:57Z,theories of calculus
2,14.0,Category:Variational analysis,27949934.0,1173.0,87.0,"denotes an extension <span class=""searchmatch"">of</span> the classic <span class=""searchmatch"">calculus</span> <span class=""searchmatch"">of</span> variations and convex analysis to more general problems <span class=""searchmatch"">of</span> optimization <span class=""searchmatch"">theory</span>, including topics in set-valued",2018-12-31T21:41:01Z,theories of calculus
3,14.0,Category:Boolean algebra,705249.0,581.0,45.0,"Boolean algebra can refer to: A <span class=""searchmatch"">calculus</span> for the manipulation <span class=""searchmatch"">of</span> truth values (T and F). A complemented distributive lattice. These can be used to model",2021-05-06T16:56:14Z,theories of calculus
4,14.0,Category:Combinatory logic,11504496.0,294.0,14.0,"Combinatory logic is a logical <span class=""searchmatch"">calculus</span> used in mathematical logic and theoretical computer science.",2018-12-31T21:26:28Z,theories of calculus
5,14.0,Category:Lambda calculus,693892.0,209.0,0.0,"Wikimedia Commons has media related to Lambda <span class=""searchmatch"">calculus</span>.",2020-04-25T19:14:00Z,theories of calculus
6,14.0,Category:Functional calculus,7423308.0,99.0,0.0,"Wikimedia Commons has media related to Functional <span class=""searchmatch"">calculus</span>.",2019-09-16T00:13:13Z,theories of calculus
7,14.0,Category:Morse theory,3406458.0,194.0,0.0,"Wikimedia Commons has media related to Morse <span class=""searchmatch"">theory</span>.",2013-04-05T17:21:56Z,theories of calculus
8,14.0,Category:Academic and Scientific Publishing academic journals,58736909.0,1411.0,152.0,"this could change in the future. &quot;Beall's List <span class=""searchmatch"">of</span> Predatory Journals and Publishers&quot;. Beall's List <span class=""searchmatch"">of</span> Predatory Journals and Publishers. Archived from",2021-06-04T20:17:50Z,theories of calculus
9,14.0,Category:Science and Technology Publishing academic journals,58737051.0,1019.0,143.0,"this could change in the future. &quot;Beall's List <span class=""searchmatch"">of</span> Predatory Journals and Publishers&quot;. Beall's List <span class=""searchmatch"">of</span> Predatory Journals and Publishers. Retrieved 5 October",2020-10-05T00:00:45Z,theories of calculus
0,14.0,Category:Works about the Black Dahlia case,43946379.0,804.0,107.0,"various <span class=""searchmatch"">theories</span> and public speculation. Her life and death have been the basis <span class=""searchmatch"">of</span> numerous books and films, and her murder is frequently cited as one <span class=""searchmatch"">of</span> the",2021-03-17T06:40:10Z,theories of case
1,14.0,Category:Alternative chronologies,59476578.0,547.0,61.0,"for articles about <span class=""searchmatch"">theories</span> setting forth a chronology that differs from the generally accepted academic consensus, or in the <span class=""searchmatch"">case</span> <span class=""searchmatch"">of</span> the ancient Near East",2021-05-07T22:49:22Z,theories of case
2,14.0,Category:Quantum models,1880678.0,625.0,73.0,"reasons. It provides a test <span class=""searchmatch"">case</span> for methods applicable to other problems. It can be used as a starting point for perturbation <span class=""searchmatch"">theory</span>. Often it is simple enough",2021-11-06T00:32:31Z,theories of case
3,14.0,Category:Articles with missing ISO 4 abbreviation redirects,55066573.0,4259.0,439.0,"templates to facilitate this. |abbreviation= should contain dotted, title <span class=""searchmatch"">cased</span> versions <span class=""searchmatch"">of</span> the abbreviations (e.g. J. Phys., not J Phys or J. phys.). Anything",2018-05-16T13:50:34Z,theories of case
4,14.0,Category:Semigroup theory,976100.0,203.0,21.0,"This category includes topics on semigroups, and also on monoids, a special <span class=""searchmatch"">case</span> in which the semigroup has an identity element.",2021-02-08T12:17:54Z,theories of case
5,14.0,Category:Denial of the crucifixion of Jesus,53921841.0,959.0,102.0,"Legend: A <span class=""searchmatch"">Case</span> for the Historical Reliability <span class=""searchmatch"">of</span> the Synoptic Jesus Tradition. Baker Academic. p. 172. ISBN 0801031141. ...if there is any fact <span class=""searchmatch"">of</span> Jesus'",2020-04-23T15:15:27Z,theories of case
6,14.0,Category:Eurabia,11159030.0,760.0,28.0,"Inclusion <span class=""searchmatch"">of</span> living persons in this category must follow WP:BLPCAT: the <span class=""searchmatch"">case</span> for each content category must be made clear by the article text and its reliable",2021-10-22T09:57:36Z,theories of case
7,14.0,Category:Academic and Scientific Publishing academic journals,58736909.0,1411.0,152.0,"this could change in the future. &quot;Beall's List <span class=""searchmatch"">of</span> Predatory Journals and Publishers&quot;. Beall's List <span class=""searchmatch"">of</span> Predatory Journals and Publishers. Archived from",2021-06-04T20:17:50Z,theories of case
8,14.0,Category:Science and Technology Publishing academic journals,58737051.0,1019.0,143.0,"this could change in the future. &quot;Beall's List <span class=""searchmatch"">of</span> Predatory Journals and Publishers&quot;. Beall's List <span class=""searchmatch"">of</span> Predatory Journals and Publishers. Retrieved 5 October",2020-10-05T00:00:45Z,theories of case
9,14.0,Category:Molotov–Ribbentrop Pact,41202141.0,511.0,0.0,"Ideological repression in science Suppressed research Lysenkoism Japhetic <span class=""searchmatch"">theory</span>, Slavists <span class=""searchmatch"">case</span> 1937 Soviet Census 1941 Red Army purge Soviet offensive plans controversy",2018-11-06T22:25:15Z,theories of case
0,14.0,Category:The Big Bang Theory characters,30407836.0,165.0,0.0,,2018-05-22T06:41:34Z,theories of character
1,14.0,Category:Articles with missing ISO 4 abbreviation redirects,55066573.0,4259.0,439.0,"instead <span class=""searchmatch"">of</span> the correct J. Biol. for Journal <span class=""searchmatch"">of</span> Biology). Similar words may also have different ISO abbreviations (e.g. Theoretical → Theor. but <span class=""searchmatch"">Theory</span> remains",2018-05-16T13:50:34Z,theories of character
2,14.0,Category:Hereditarianism,3663651.0,580.0,67.0,"Hereditarianism is the doctrine or school <span class=""searchmatch"">of</span> thought that heredity plays a significant role in determining human nature and <span class=""searchmatch"">character</span> traits, such as intelligence",2020-08-29T20:10:57Z,theories of character
3,14.0,Category:Character encoding,2123467.0,260.0,29.0,Top 0–9 A B C D E F G H I J K L M N O P Q R S T U V W X Y Z,2020-09-26T21:40:36Z,theories of character
4,14.0,Category:Ableism,51164518.0,517.0,51.0,"disabilities as inferior to the non-disabled. On this basis, people are assigned or denied certain perceived abilities, skills, or <span class=""searchmatch"">character</span> orientations.",2021-05-12T05:32:20Z,theories of character
