...1,ns,title,pageid,size,wordcount,snippet,timestamp,query_string,category,jac,lev
2,14,Category:Systems of set theory,7405444,385,44,"In <span class=""searchmatch"">set</span> <span class=""searchmatch"">theory</span>, there are several different Systems <span class=""searchmatch"">of</span> <span class=""searchmatch"">set</span> <span class=""searchmatch"">theory</span> — lists <span class=""searchmatch"">of</span> axioms organized around a concept <span class=""searchmatch"">of</span> what <span class=""searchmatch"">set</span> <span class=""searchmatch"">theory</span> should be. This category",2013-03-30T10:31:36Z,theory of set,Systems of set theory,0.5714285714285714,14
3,14,Category:Axioms of set theory,3439807,371,50,"This category is for axioms in the language <span class=""searchmatch"">of</span> <span class=""searchmatch"">set</span> <span class=""searchmatch"">theory</span>; roughly speaking, ones that &quot;talk about <span class=""searchmatch"">sets</span>&quot;. Inclusion in this category does not necessarily",2013-03-28T06:50:55Z,theory of set,Axioms of set theory,0.55,12
0,14,Category:Social stratification,68757350,727,53,"Articles relating to social <span class=""searchmatch"">stratification</span>, a society's categorization <span class=""searchmatch"">of</span> its people into groups based on socioeconomic factors like wealth, income, race",2021-09-18T15:49:12Z,theory of stratification,Social stratification,0.5555555555555556,8
0,14,Category:Social stratification,68757350,727,53,"Articles relating to social <span class=""searchmatch"">stratification</span>, a society's categorization <span class=""searchmatch"">of</span> its people into groups based on socioeconomic factors like wealth, income, race",2021-09-18T15:49:12Z,theory of stratificational,Social stratification,0.5862068965517242,10
0,14,Category:Systems theory,717695,364,62,"<span class=""searchmatch"">Systems</span> science portal Engineering portal <span class=""searchmatch"">Systems</span> <span class=""searchmatch"">theory</span> is the interdisciplinary study <span class=""searchmatch"">of</span> <span class=""searchmatch"">systems</span> in science and society. It offers frameworks to describe",2020-08-29T17:44:54Z,theory of systems,Systems theory,0.5789473684210527,15
2,14,Category:Systems of set theory,7405444,385,44,"In set <span class=""searchmatch"">theory</span>, there are several different <span class=""searchmatch"">Systems</span> <span class=""searchmatch"">of</span> set <span class=""searchmatch"">theory</span> — lists <span class=""searchmatch"">of</span> axioms organized around a concept <span class=""searchmatch"">of</span> what set <span class=""searchmatch"">theory</span> should be. This category",2013-03-30T10:31:36Z,theory of systems,Systems of set theory,0.5217391304347826,14
6,14,Category:Program transformation,30677368,83,0,NA,2014-05-08T09:46:49Z,theory of transformation,Program transformation,0.5517241379310345,8
0,14,Category:Theory of value (economics),6535659,113,0,"<span class=""searchmatch"">Theory</span> <span class=""searchmatch"">of</span> <span class=""searchmatch"">value</span> (economics) is included in the JEL classification codes as JEL: D46",2017-07-12T01:54:43Z,theory of values,Theory of value (economics),0.5555555555555556,12
0,14,Category:Post-tonal music theory,14695644,123,0,"Wikimedia Commons has media related to Post-<span class=""searchmatch"">tonal</span> <span class=""searchmatch"">music</span> <span class=""searchmatch"">theory</span>.",2020-02-26T01:57:17Z,theory of tonal music,Post-tonal music theory,0.5185185185185186,16
3,14,Category:Theories of language,22337303,120,0,"description) Unilalianism Verification <span class=""searchmatch"">theory</span> Concepts Ambiguity Cant Linguistic relativity <span class=""searchmatch"">Language</span> Truth-bearer Proposition <span class=""searchmatch"">Use</span>–mention distinction Concept Categories",2017-11-16T16:13:15Z,theory of language use,Theories of language,0.5384615384615384,8
0,14,Category:Mathematics of music,2109136,186,0,"Wikimedia Commons has media related to <span class=""searchmatch"">Mathematics</span> <span class=""searchmatch"">of</span> <span class=""searchmatch"">music</span>.",2019-12-11T08:53:14Z,theory of music mathematical,Mathematics of music,0.5,21
0,14,Category:Parts of the narrative structure,28608050,226,7,"Articles about parts <span class=""searchmatch"">of</span> the <span class=""searchmatch"">narrative</span> <span class=""searchmatch"">structure</span>.",2019-02-21T08:23:57Z,theory of narrative structure,Parts of the narrative structure,0.41666666666666663,10
1,14,Category:Theories of language,22337303,120,0,"Paul Watzlawick Richard Montague Barbara Partee <span class=""searchmatch"">Theories</span> Causal <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> reference Contrast <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> meaning Contrastivism Conventionalism Cratylism",2017-11-16T16:13:15Z,theories of language use,Theories of language,0.26086956521739135,5
1,14,Category:Theories of language,22337303,120,0,"Paul Watzlawick Richard Montague Barbara Partee <span class=""searchmatch"">Theories</span> Causal <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> reference Contrast <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> meaning Contrastivism Conventionalism Cratylism",2017-11-16T16:13:15Z,theories of  natural language,Theories of language,0.4482758620689655,10
0,14,Category:Theory of computation,3233312,465,46,"<span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> <span class=""searchmatch"">computation</span> is the branch that deals with whether and how efficiently problems can be solved on a model <span class=""searchmatch"">of</span> <span class=""searchmatch"">computation</span>, using an <span class=""searchmatch"">algorithm</span>.",2020-01-28T20:25:57Z,theory of algorithmic computation,Theory of computation,0.48484848484848486,13
0,14,Category:Marlovian theory of Shakespeare authorship,38942901,129,0,NA,2013-08-02T04:54:48Z,theory of authorship marlowe,Marlovian theory of Shakespeare authorship,0.5957446808510638,29
0,14,Category:Shakespeare authorship question,31868239,956,76,"for adherents <span class=""searchmatch"">of</span> the various alternative-<span class=""searchmatch"">authorship</span> <span class=""searchmatch"">theories</span>—believe that <span class=""searchmatch"">Shakespeare</span> <span class=""searchmatch"">of</span> Stratford was a front to shield the identity <span class=""searchmatch"">of</span> the real author",2021-01-05T12:23:39Z,theory of authorship shakespeare,Shakespeare authorship question,0.5609756097560976,18
1,14,Category:Baconian theory of Shakespeare authorship,38942921,171,0,"Wikimedia Commons has media related to Baconian <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> <span class=""searchmatch"">Shakespeare</span> <span class=""searchmatch"">authorship</span>.",2018-04-01T17:07:26Z,theory of authorship shakespeare,Baconian theory of Shakespeare authorship,0.43181818181818177,27
2,14,Category:Derbyite theory of Shakespeare authorship,38942920,58,0,NA,2013-03-28T04:08:40Z,theory of authorship shakespeare,Derbyite theory of Shakespeare authorship,0.43181818181818177,26
3,14,Category:Marlovian theory of Shakespeare authorship,38942901,129,0,NA,2013-08-02T04:54:48Z,theory of authorship shakespeare,Marlovian theory of Shakespeare authorship,0.4444444444444444,27
4,14,Category:Oxfordian theory of Shakespeare authorship,38942906,58,0,NA,2013-03-28T04:06:24Z,theory of authorship shakespeare,Oxfordian theory of Shakespeare authorship,0.4444444444444444,26
5,14,Category:Shakespeare authorship theories,38114214,99,0,NA,2014-05-20T00:27:14Z,theory of authorship shakespeare,Shakespeare authorship theories,0.4473684210526315,18
0,14,Category:Theory of computation,3233312,465,46,"computation, using an algorithm. The field is divided into three major branches: automata <span class=""searchmatch"">theory</span>, computability <span class=""searchmatch"">theory</span> and <span class=""searchmatch"">computational</span> <span class=""searchmatch"">complexity</span> <span class=""searchmatch"">theory</span>.",2020-01-28T20:25:57Z,theory of computational complexity,Theory of computation,0.4,14
6,14,Category:Computational complexity theory,693727,163,29,"Wikimedia Commons has media related to <span class=""searchmatch"">Computational</span> <span class=""searchmatch"">complexity</span> <span class=""searchmatch"">theory</span>.",2020-07-27T20:12:23Z,theory of computational complexity,Computational complexity theory,0.2727272727272727,18
8,14,Category:Theorems in computational complexity theory,36847437,201,0,NA,2015-04-03T13:51:43Z,theory of computational complexity,Theorems in computational complexity theory,0.41463414634146345,13
1,14,Category:Dynamical systems,877149,631,91,"<span class=""searchmatch"">Systems</span> science portal <span class=""searchmatch"">Dynamical</span> <span class=""searchmatch"">systems</span> deals with the study <span class=""searchmatch"">of</span> the solutions to the equations <span class=""searchmatch"">of</span> motion <span class=""searchmatch"">of</span> <span class=""searchmatch"">systems</span> that are primarily mechanical in nature;",2020-12-21T13:08:25Z,theory of dynamical systems,Dynamical systems,0.46153846153846156,11
0,14,Category:Literary theory,3101549,192,0,"Wikimedia Commons has media related to <span class=""searchmatch"">Literary</span> <span class=""searchmatch"">theory</span>.",2021-07-01T22:43:52Z,theory of literary text,Literary theory,0.5,15
0,14,Category:Systems of set theory,7405444,385,44,"In set <span class=""searchmatch"">theory</span>, there are several different <span class=""searchmatch"">Systems</span> <span class=""searchmatch"">of</span> set <span class=""searchmatch"">theory</span> — lists <span class=""searchmatch"">of</span> axioms organized around a concept <span class=""searchmatch"">of</span> what set <span class=""searchmatch"">theory</span> should be. This category",2013-03-30T10:31:36Z,theory of systems formal,Systems of set theory,0.5862068965517242,17
0,14,Category:Literary theory,3101549,192,0,"Wikimedia Commons has media related to <span class=""searchmatch"">Literary</span> <span class=""searchmatch"">theory</span>.",2021-07-01T22:43:52Z,literary theory,Literary theory,0.1428571428571429,1
1,14,Category:Essays in literary theory,17611284,126,4,"Essays in <span class=""searchmatch"">literary</span> <span class=""searchmatch"">theory</span>.",2018-07-09T08:13:06Z,literary theory,Essays in literary theory,0.4347826086956522,10
5,14,Category:Terms in literary theory,17707884,62,0,NA,2016-09-25T18:57:42Z,literary theory,Terms in literary theory,0.40909090909090906,9
6,14,Category:Books about literary theory,31955254,178,0,NA,2018-07-09T08:13:05Z,literary theory,Books about literary theory,0.48,12
9,14,Category:Literary theorists,11073113,245,0,"Wikimedia Commons has media related to <span class=""searchmatch"">Literary</span> theorists.",2020-11-18T15:16:25Z,literary theory,Literary theorists,0.38888888888888884,5
0,14,Category:Critical theory,692017,382,29,"Wikimedia Commons has media related to <span class=""searchmatch"">Critical</span> <span class=""searchmatch"">theory</span>.",2021-01-07T09:11:54Z,critical theory,Critical theory,0.1428571428571429,1
3,14,Category:Critical theory stubs,67762219,217,0,"articles relating to <span class=""searchmatch"">critical</span> <span class=""searchmatch"">theory</span>. You can help by expanding them. To add an article to this category, use {{<span class=""searchmatch"">critical</span>-<span class=""searchmatch"">theory</span>-stub}} instead of {{stub}}",2021-05-25T18:41:22Z,critical theory,Critical theory stubs,0.4,7
5,14,Category:Critical race theory,32457412,123,0,NA,2021-04-29T19:01:12Z,critical theory,Critical race theory,0.44999999999999996,6
9,14,Category:Critical theorists,4885686,248,29,"Wikimedia Commons has media related to <span class=""searchmatch"">Critical</span> theorists.",2021-05-22T21:47:43Z,critical theory,Critical theorists,0.38888888888888884,5
0,14,Category:Linguistic theories and hypotheses,62327389,78,0,NA,2019-11-13T03:10:17Z,linguistic theories,Linguistic theories and hypotheses,0.5,16
0,14,Category:Social learning theory,16162632,483,50,"<span class=""searchmatch"">Social</span> learning <span class=""searchmatch"">theory</span> is a <span class=""searchmatch"">theory</span> to explain how people (or animals) learn behavior. People may learn through observing and consequently copy others'",2018-12-31T21:29:54Z,social theory,Social learning theory,0.5909090909090908,10
1,14,Category:Functionalism (social theory),36599442,228,21,"This category is for all <span class=""searchmatch"">social</span> <span class=""searchmatch"">theories</span> and theorists related to functionalism. For other meanings of the word, see Functionalism (disambiguation).",2019-10-24T21:17:28Z,social theory,Functionalism (social theory),0.5925925925925926,16
7,14,Category:Social choice theory,5389513,323,0,"<span class=""searchmatch"">Social</span> choice <span class=""searchmatch"">theory</span> is included in the JEL classification codes as JEL: D71",2018-05-17T13:59:49Z,social theory,Social choice theory,0.55,8
0,14,Category:Statistical theory,6539521,89,0,"Wikimedia Commons has media related to <span class=""searchmatch"">Statistical</span> <span class=""searchmatch"">theory</span>.",2018-12-31T20:10:51Z,statistical theory,Statistical theory,0.11764705882352944,1
6,14,Category:Statistical laws,6534870,121,0,"Wikimedia Commons has media related to <span class=""searchmatch"">Statistical</span> laws.",2021-04-06T23:22:18Z,statistical theory,Statistical laws,0.5714285714285714,7
0,14,Category:Feminist theory,704466,204,29,"Wikimedia Commons has media related to <span class=""searchmatch"">Feminist</span> <span class=""searchmatch"">theory</span>.",2020-11-08T00:40:32Z,feminist theory,Feminist theory,0.1428571428571429,1
3,14,Category:Feminist theorists,37203154,184,2,Feminism portal,2017-03-01T18:27:45Z,feminist theory,Feminist theorists,0.3529411764705882,5
0,14,Category:Essays in literary theory,17611284,126,4,"Essays in <span class=""searchmatch"">literary</span> <span class=""searchmatch"">theory</span>.",2018-07-09T08:13:06Z,literary theories,Essays in literary theory,0.5384615384615384,13
4,14,Category:Literary theory,3101549,192,0,"Wikimedia Commons has media related to <span class=""searchmatch"">Literary</span> <span class=""searchmatch"">theory</span>.",2021-07-01T22:43:52Z,literary theories,Literary theory,0.3529411764705882,4
6,14,Category:Terms in literary theory,17707884,62,0,NA,2016-09-25T18:57:42Z,literary theories,Terms in literary theory,0.52,12
7,14,Category:Books about literary theory,31955254,178,0,NA,2018-07-09T08:13:05Z,literary theories,Books about literary theory,0.5714285714285714,15
9,14,Category:Literary theorists,11073113,245,0,"Wikimedia Commons has media related to <span class=""searchmatch"">Literary</span> theorists.",2020-11-18T15:16:25Z,literary theories,Literary theorists,0.368421052631579,3
2,14,Category:Mathematical logic,693685,993,143,"definability. <span class=""searchmatch"">Mathematical</span> logic is divided into four parts: Model <span class=""searchmatch"">theory</span> Proof <span class=""searchmatch"">theory</span> Recursion <span class=""searchmatch"">theory</span>, also known as computability <span class=""searchmatch"">theory</span> Set <span class=""searchmatch"">theory</span> The divisions",2020-04-22T19:22:12Z,Mathematical Theory,Mathematical logic,0.5,6
6,14,Category:Mathematical proofs,34560653,828,83,"This category includes articles on basic topics related to <span class=""searchmatch"">mathematical</span> proofs, including terminology and proof techniques. Related categories: Pages which",2019-09-13T00:21:43Z,Mathematical Theory,Mathematical proofs,0.5217391304347826,5
1,14,Category:Evolutionary game theory,9391258,174,0,"Wikimedia Commons has media related to <span class=""searchmatch"">Evolutionary</span> game <span class=""searchmatch"">theory</span>.",2014-05-19T23:24:34Z,evolutionary theory,Evolutionary game theory,0.375,6
0,14,Category:Scientific theories,21991760,443,29,"<span class=""searchmatch"">Scientific</span> <span class=""searchmatch"">theories</span> are distinguished from philosophical <span class=""searchmatch"">theories</span> in that each of their theorems are statements about observable data, whereas a philosophical",2021-04-29T07:46:21Z,scientific theory,Scientific theories,0.3157894736842105,4
7,14,Category:Obsolete scientific theories,1889443,277,0,"Wikimedia Commons has media related to Obsolete <span class=""searchmatch"">scientific</span> <span class=""searchmatch"">theories</span>.",2021-07-23T19:35:11Z,scientific theory,Obsolete scientific theories,0.4814814814814815,12
5,14,Category:Theories,1963117,368,36,"A <span class=""searchmatch"">theory</span> provides an explanatory framework for some observation, and from the assumptions of the explanation follows a number of possible hypotheses that",2020-07-26T11:44:39Z,such theories,Theories,0.5833333333333333,6
6,14,Category:Fringe theories,27280502,211,22,"Fringe <span class=""searchmatch"">theories</span>, ideas or viewpoints which differ from the accepted scholarship in their field. For fringe <span class=""searchmatch"">theory</span> in general, see Category:Fringe <span class=""searchmatch"">theory</span>.",2020-12-12T15:50:32Z,such theories,Fringe theories,0.5882352941176471,6
1,14,Category:Formal theories,24825997,105,0,"Wikimedia Commons has media related to <span class=""searchmatch"">Formal</span> <span class=""searchmatch"">theories</span>.",2020-10-04T10:23:11Z,formal theory,Formal theories,0.4,4
5,14,Category:Information theory,694025,597,43,"Articles relating to information <span class=""searchmatch"">theory</span>, which studies the quantification, storage, and communication of information. Top 0–9 A B C D E F G H I J K L M",2020-12-13T00:23:18Z,formal theory,Information theory,0.5789473684210527,6
0,14,Category:Archaeological theory,1863738,700,83,"<span class=""searchmatch"">Archaeological</span> <span class=""searchmatch"">theory</span> covers the debates over the practice of <span class=""searchmatch"">archaeology</span> and the interpretation of <span class=""searchmatch"">archaeological</span> results. There is no single <span class=""searchmatch"">theory</span>",2019-02-01T19:11:06Z,archaeological theory,Archaeological theory,0.09999999999999998,1
2,14,Category:Critical theory,692017,382,29,"Wikimedia Commons has media related to <span class=""searchmatch"">Critical</span> <span class=""searchmatch"">theory</span>.",2021-01-07T09:11:54Z,critical theories,Critical theory,0.3529411764705882,4
4,14,Category:Critical theory stubs,67762219,217,0,"articles relating to <span class=""searchmatch"">critical</span> <span class=""searchmatch"">theory</span>. You can help by expanding them. To add an article to this category, use {{<span class=""searchmatch"">critical</span>-<span class=""searchmatch"">theory</span>-stub}} instead of {{stub}}",2021-05-25T18:41:22Z,critical theories,Critical theory stubs,0.5217391304347826,7
8,14,Category:Critical race theory,32457412,123,0,NA,2021-04-29T19:01:12Z,critical theories,Critical race theory,0.5652173913043479,9
0,14,Category:Mutualism (economic theory),31176645,278,16,"This category is for articles relating to Mutualism (<span class=""searchmatch"">economic</span> <span class=""searchmatch"">theory</span>), largely associated with Pierre-Joseph Proudhon.",2018-01-13T16:53:02Z,economic theory,Mutualism (economic theory),0.48,12
0,14,Category:Philosophical theories,2649129,405,58,"Philosophy portal Articles relating to <span class=""searchmatch"">Philosophical</span> <span class=""searchmatch"">theories</span>, views that attempt to explain or account for a particular problem in philosophy. See also",2020-12-17T21:58:05Z,philosophical theory,Philosophical theories,0.23809523809523814,4
2,14,Category:Philosophical movements,3074444,596,50,"A <span class=""searchmatch"">philosophical</span> movement is either the appearance or increased popularity of a specific school of philosophy, or a fairly broad but identifiable sea-change",2016-12-08T08:44:31Z,philosophical theory,Philosophical movements,0.5925925925925926,9
5,14,Category:Philosophical traditions,22197373,265,0,"Wikimedia Commons has media related to <span class=""searchmatch"">Philosophical</span> traditions.",2021-10-05T01:20:53Z,philosophical theory,Philosophical traditions,0.5555555555555556,9
7,14,Category:Philosophical arguments,2656241,158,3,"Wikimedia Commons has media related to <span class=""searchmatch"">Philosophical</span> arguments.",2020-08-29T19:39:30Z,philosophical theory,Philosophical arguments,0.5925925925925926,9
1,14,Category:Political science theories,6501353,209,7,"Articles relating to <span class=""searchmatch"">theories</span> in <span class=""searchmatch"">political</span> science.",2018-04-02T20:46:14Z,political theory,Political science theories,0.5925925925925926,12
0,14,Category:Psychoanalytic theory,704764,183,0,"Wikimedia Commons has media related to <span class=""searchmatch"">Psychoanalytic</span> <span class=""searchmatch"">theory</span>.",2021-11-28T18:34:12Z,psychoanalytic theory,Psychoanalytic theory,0.09999999999999998,1
3,14,Category:Psychoanalytic terminology,34886383,473,29,"notice while the discussion is in progress. add entry: {{subst:Cfm2|<span class=""searchmatch"">Psychoanalytic</span> terminology|Psychoanalysis|text=Your reason(s) for the proposed merger",2021-11-27T12:25:23Z,psychoanalytic theory,Psychoanalytic terminology,0.5666666666666667,9
0,14,Category:Scientific theories,21991760,443,29,"<span class=""searchmatch"">Scientific</span> <span class=""searchmatch"">theories</span> are distinguished from philosophical <span class=""searchmatch"">theories</span> in that each of their theorems are statements about observable data, whereas a philosophical",2021-04-29T07:46:21Z,scientific theories,Scientific theories,0.11111111111111116,1
4,14,Category:Obsolete scientific theories,1889443,277,0,"Wikimedia Commons has media related to Obsolete <span class=""searchmatch"">scientific</span> <span class=""searchmatch"">theories</span>.",2021-07-23T19:35:11Z,scientific theories,Obsolete scientific theories,0.34615384615384615,9
1,14,Category:Feminist theory,704466,204,29,"Wikimedia Commons has media related to <span class=""searchmatch"">Feminist</span> <span class=""searchmatch"">theory</span>.",2020-11-08T00:40:32Z,feminist theories,Feminist theory,0.3529411764705882,4
3,14,Category:Feminist theorists,37203154,184,2,Feminism portal,2017-03-01T18:27:45Z,feminist theories,Feminist theorists,0.33333333333333337,3
2,14,Category:Psychological theories,2871214,104,0,"Wikimedia Commons has media related to <span class=""searchmatch"">Psychological</span> <span class=""searchmatch"">theories</span>.",2014-03-08T13:16:48Z,psychological theory,Psychological theories,0.2727272727272727,4
0,14,Category:Queer theory,696637,279,2,LGBT portal,2020-06-12T18:50:57Z,queer theory,Queer theory,0.18181818181818177,1
1,14,Category:Queer theorists,2033532,77,2,LGBT portal,2018-12-04T13:59:18Z,queer theory,Queer theorists,0.4666666666666667,5
3,14,Category:Modern monetary theory,46192175,82,0,NA,2019-09-22T01:24:08Z,modern theory,Modern monetary theory,0.5909090909090908,10
0,14,Category:Abstract object theory,39045486,115,6,"The category for <span class=""searchmatch"">Abstract</span> object <span class=""searchmatch"">theory</span>.",2016-05-16T08:02:03Z,abstract theory,Abstract object theory,0.4,8
0,14,Category:Computational problems,4594748,288,18,"This category lists <span class=""searchmatch"">computational</span> problems, formal problems in theoretical computer science which are studied in <span class=""searchmatch"">computational</span> complexity <span class=""searchmatch"">theory</span>.",2013-12-29T16:02:35Z,computational theory,Computational problems,0.5925925925925926,9
1,14,Category:Theory of computation,3233312,465,46,"computation, using an algorithm. The field is divided into three major branches: automata <span class=""searchmatch"">theory</span>, computability <span class=""searchmatch"">theory</span> and <span class=""searchmatch"">computational</span> complexity <span class=""searchmatch"">theory</span>.",2020-01-28T20:25:57Z,computational theory,Theory of computation,0.52,19
4,14,Category:Computational problems in graph theory,25346631,211,10,"This category lists <span class=""searchmatch"">computational</span> problems that arise in graph <span class=""searchmatch"">theory</span>.",2020-05-02T09:01:05Z,computational theory,Computational problems in graph theory,0.5789473684210527,19
6,14,Category:Computational physics,792595,322,24,"<span class=""searchmatch"">Computational</span> physics is the study and implementation of numerical algorithms in order to solve problems in physics for which a quantitative <span class=""searchmatch"">theory</span> already",2020-12-21T22:02:56Z,computational theory,Computational physics,0.5769230769230769,7
7,14,Category:Computational complexity theory,693727,163,29,"Wikimedia Commons has media related to <span class=""searchmatch"">Computational</span> complexity <span class=""searchmatch"">theory</span>.",2020-07-27T20:12:23Z,computational theory,Computational complexity theory,0.4137931034482759,12
9,14,Category:Computational number theory,1183044,152,0,"Wikimedia Commons has media related to <span class=""searchmatch"">Computational</span> number <span class=""searchmatch"">theory</span>.",2020-08-29T18:23:32Z,computational theory,Computational number theory,0.40740740740740744,8
0,14,Category:Effective descriptive set theory,3244119,423,42,"Effective <span class=""searchmatch"">descriptive</span> set <span class=""searchmatch"">theory</span> is the branch of <span class=""searchmatch"">descriptive</span> set <span class=""searchmatch"">theory</span> dealing with sets of reals having lightface definitions; that is, definitions",2013-03-28T06:49:19Z,descriptive theory,Effective descriptive set theory,0.4642857142857143,14
2,14,Category:Descriptive set theory,2194865,60,0,NA,2013-03-28T04:27:24Z,descriptive theory,Descriptive set theory,0.36363636363636365,5
0,14,Category:Marxist theory,697265,314,29,"Wikimedia Commons has media related to <span class=""searchmatch"">Marxist</span> <span class=""searchmatch"">theory</span>.",2020-04-24T16:48:16Z,Marxist theory,Marxist theory,0,0
1,14,Category:Marxist theorists,906050,411,66,"This is a list of those who contributed to <span class=""searchmatch"">Marxist</span> <span class=""searchmatch"">theory</span>, principally as authors; it is not intended to list politicians who happen(ed) to be a member",2020-10-02T21:53:33Z,Marxist theory,Marxist theorists,0.2666666666666667,4
0,14,Category:Social theories,23079219,211,29,"<span class=""searchmatch"">Theories</span> of aesthetics Epistemological <span class=""searchmatch"">theories</span> Ethical <span class=""searchmatch"">theories</span> <span class=""searchmatch"">Theories</span> of deduction Metaphysical <span class=""searchmatch"">theories</span> <span class=""searchmatch"">Social</span> <span class=""searchmatch"">theories</span> Philosophers Concepts Literature",2020-08-07T19:14:31Z,social theories,Social theories,0.1428571428571429,1
1,14,Category:Sociological theories,6220146,524,62,"interdisciplinary <span class=""searchmatch"">theories</span> and paradigms. For the different variants of <span class=""searchmatch"">theories</span> or paradigms, please see its individual sub-category. For philosophical <span class=""searchmatch"">theories</span> about",2021-10-01T00:23:28Z,social theories,Sociological theories,0.5454545454545454,7
5,14,Category:Complex systems theory,10955733,250,3,"Wikimedia Commons has media related to <span class=""searchmatch"">Complex</span> systems.",2019-06-02T22:36:01Z,complex theory,Complex systems theory,0.5454545454545454,9
9,14,Category:Computational complexity theory,693727,163,29,"Wikimedia Commons has media related to <span class=""searchmatch"">Computational</span> complexity <span class=""searchmatch"">theory</span>.",2020-07-27T20:12:23Z,computational theories,Computational complexity theory,0.5,15
0,14,Category:Ecological theories,14110290,136,0,NA,2021-05-07T08:20:29Z,ecological theories,Ecological theories,0.11111111111111116,1
0,14,Category:Ecological theories,14110290,136,0,NA,2021-05-07T08:20:29Z,ecological theory,Ecological theories,0.3157894736842105,4
0,14,Category:Educational theory,50340433,38,0,"This category is located at Category:Education <span class=""searchmatch"">theory</span>. Note: This category should be empty. See the instructions for more information. Administrators:",2020-09-01T20:51:28Z,educational theory,Educational theory,0.11764705882352944,1
6,14,Category:Learning theory (education),16163925,372,25,"In psychology and education, learning <span class=""searchmatch"">theories</span> are attempts to describe how people and animals learn, thereby helping us understand the inherently complex",2021-09-27T07:39:41Z,educational theory,Learning theory (education),0.5862068965517242,21
7,14,Category:French music theorists,6012921,460,48,"Music theorists are those who study music <span class=""searchmatch"">theory</span>. This category includes theorists from the ancient world, especially ancient Greece which was a particularly",2016-02-16T17:07:01Z,French theory,French music theorists,0.5909090909090908,10
0,14,Category:Philosophical theories,2649129,405,58,"Philosophy portal Articles relating to <span class=""searchmatch"">Philosophical</span> <span class=""searchmatch"">theories</span>, views that attempt to explain or account for a particular problem in philosophy. See also",2020-12-17T21:58:05Z,philosophical theories,Philosophical theories,0.050000000000000044,1
2,14,Category:Sociological theories,6220146,524,62,"interdisciplinary <span class=""searchmatch"">theories</span> and paradigms. For the different variants of <span class=""searchmatch"">theories</span> or paradigms, please see its individual sub-category. For <span class=""searchmatch"">philosophical</span> <span class=""searchmatch"">theories</span> about",2021-10-01T00:23:28Z,philosophical theories,Sociological theories,0.5925925925925926,7
4,14,Category:Philosophical traditions,22197373,265,0,"Wikimedia Commons has media related to <span class=""searchmatch"">Philosophical</span> traditions.",2021-10-05T01:20:53Z,philosophical theories,Philosophical traditions,0.5862068965517242,8
0,14,Category:Postmodern theory,704758,972,82,"<span class=""searchmatch"">Postmodernism</span> is a term which describes the postmodernist movement in the arts, its set of cultural tendencies and associated cultural movements. It is",2021-01-08T11:16:04Z,postmodern theories,Postmodern theory,0.3157894736842105,4
0,14,Category:Set theory,693646,1016,161,"set <span class=""searchmatch"">theory</span> is a rigorous axiomatic <span class=""searchmatch"">theory</span> developed in response to the discovery of serious flaws (<span class=""searchmatch"">such</span> as Russell's paradox) in naive set <span class=""searchmatch"">theory</span>. It",2020-04-22T19:22:50Z,such theory,Set theory,0.5833333333333333,4
3,14,Category:Graph theory,691898,1075,146,"Mathematics portal Graph <span class=""searchmatch"">theory</span> is the branch of mathematics that examines the properties of mathematical graphs. See glossary of graph <span class=""searchmatch"">theory</span> for common terms",2021-08-26T18:06:47Z,such theory,Graph theory,0.5384615384615384,4
0,14,Category:Set theory,693646,1016,161,"Mathematics portal Set <span class=""searchmatch"">theory</span> is any of a number of subtly different things in mathematics: Naive set <span class=""searchmatch"">theory</span> is the original set <span class=""searchmatch"">theory</span> developed by mathematicians",2020-04-22T19:22:50Z,theory,Set theory,0.5,4
8,14,Category:Knot theory,696014,369,31,"Knot <span class=""searchmatch"">theory</span> is a branch of topology that concerns itself with abstract properties of mathematical knots — the spatial arrangements that in principle could",2019-08-06T21:41:04Z,theory,Knot theory,0.5555555555555556,5
0,14,Category:Asymptotic theory (statistics),31180880,108,0,NA,2016-11-25T09:49:52Z,asymptotic theory,Asymptotic theory (statistics),0.5,14
0,14,Category:Economic theories,780365,234,0,NA,2020-04-05T12:53:45Z,economic theories,Economic theories,0.125,1
2,14,Category:Mutualism (economic theory),31176645,278,16,"This category is for articles relating to Mutualism (<span class=""searchmatch"">economic</span> <span class=""searchmatch"">theory</span>), largely associated with Pierre-Joseph Proudhon.",2018-01-13T16:53:02Z,economic theories,Mutualism (economic theory),0.5714285714285714,14
4,14,Category:Economic theories stubs,60339933,164,0,"stub articles relating to <span class=""searchmatch"">Economic</span> <span class=""searchmatch"">theories</span>. You can help by expanding them. To add an article to this category, use {{econ-<span class=""searchmatch"">theory</span>-stub}} instead of {{stub}}",2019-03-27T01:10:06Z,economic theories,Economic theories stubs,0.36363636363636365,7
6,14,Category:Macroeconomic theories,54085732,117,6,"<span class=""searchmatch"">Theories</span> within the field of Macroeconomics.",2017-09-30T13:20:44Z,economic theories,Macroeconomic theories,0.25,5
