name,name_reco,wikidata_id,instance of,date of death,date of birth,VIAF ID,GND ID,country of citizenship,sex or gender,theory
Gubar,Susan Gubar,Q7647901,human,,1944-11-30T00:00:00Z,108499527,,United States of America,female,FEMINISM
Coppelia Kahn,Coppélia Kahn,Q58099856,human,,1939-01-01T00:00:00Z,108273030,,,female,FEMINISM
Kahn,Kahn,Q58099856,human,,1939-01-01T00:00:00Z,108273030,,,female,FEMINISM
Audre Lorde,Audre Lorde,Q463319,human,1992-11-17T00:00:00Z,1934-02-18T00:00:00Z,61565157,119143666,United States of America,female,FEMINISM
Lorde,Audre Lorde,Q463319,human,1992-11-17T00:00:00Z,1934-02-18T00:00:00Z,61565157,119143666,United States of America,female,FEMINISM
Geraldine Heng,Geraldine Heng,Q64686707,human,,1953-01-01T00:00:00Z,46995148,,,female,FEMINISM
Heng,Amanda Heng,Q16729760,human,,1951-01-01T00:00:00Z,305407411,,Singapore,female,FEMINISM
Simone de Beauvoir,Simone de Beauvoir,Q7197,human,1986-04-14T00:00:00Z,1908-01-09T00:00:00Z,2466221,118507877,France,female,FEMINISM
Beauvoir,Beauvoir,Q61107101,human,,,,,Haiti,male,FEMINISM
Kate Millett,Kate Millett,Q292268,human,2017-09-06T00:00:00Z,1934-09-14T00:00:00Z,51693468,118959026,United States of America,female,FEMINISM
Millett,Kate Millett,Q292268,human,2017-09-06T00:00:00Z,1934-09-14T00:00:00Z,51693468,118959026,United States of America,female,FEMINISM
Elaine Showalter,Elaine Showalter,Q467333,human,,1941-01-21T00:00:00Z,108717003,122569881,United States of America,female,FEMINISM
Showalter,Elaine Showalter,Q467333,human,,1941-01-21T00:00:00Z,108717003,122569881,United States of America,female,FEMINISM
Bell Hooks,bell hooks,Q259507,human,,1952-09-25T00:00:00Z,79115934,11933447X,United States of America,female,FEMINISM
Donna Haraway,Donna Haraway,Q253407,human,,1944-09-06T00:00:00Z,91665330,131370952,United States of America,female,FEMINISM
Haraway,Haraway,Q253407,human,,1944-09-06T00:00:00Z,91665330,131370952,United States of America,female,FEMINISM
Feminist Criticism,Feminist Criticism,,,,,,,,,FEMINISM
Marxist feminism,Marxist feminism,Q1321958,Marxist school of thought,,,,,,,FEMINISM
Gynocriticism,Gynocriticism,Q5625196,,,,,,,,FEMINISM
French feminism,French feminism,,,,,,,,,FEMINISM
Theor* of feminism,Theor* of feminism,,,,,,,,,FEMINISM
Feminis* Theor*,Feminis* Theor*,,,,,,,,,FEMINISM
Walter Benjamin,Walter Benjamin,Q61078,human,1940-09-26T00:00:00Z,1892-07-15T00:00:00Z,46757196,118509039,German Empire,male,CULTURAL_STUDIES
Max Horkheimer,Max Horkheimer,Q76826,human,1973-07-07T00:00:00Z,1895-02-14T00:00:00Z,14771315,118553615,Germany,male,CULTURAL_STUDIES
Horkheimer,Max Horkheimer,Q76826,human,1973-07-07T00:00:00Z,1895-02-14T00:00:00Z,14771315,118553615,Germany,male,CULTURAL_STUDIES
Theodor Adorno,Theodor W. Adorno,Q152388,human,1969-08-06T00:00:00Z,1903-09-11T00:00:00Z,95247377,118500775,United States of America,male,CULTURAL_STUDIES
Adorno,Theodor W. Adorno,Q152388,human,1969-08-06T00:00:00Z,1903-09-11T00:00:00Z,95247377,118500775,United States of America,male,CULTURAL_STUDIES
Michel de Certeau,Michel de Certeau,Q553887,human,1986-01-09T00:00:00Z,1925-05-17T00:00:00Z,51687040,118870831,France,male,CULTURAL_STUDIES
Certeau,Michel de Certeau,Q553887,human,1986-01-09T00:00:00Z,1925-05-17T00:00:00Z,51687040,118870831,France,male,CULTURAL_STUDIES
Dick Hebdige,Dick Hebdige,Q3026588,human,,1951-01-07T00:00:00Z,12374615,,United Kingdom,male,CULTURAL_STUDIES
Hebdige,Dick Hebdige,Q3026588,human,,1951-01-07T00:00:00Z,12374615,,United Kingdom,male,CULTURAL_STUDIES
John Fiske,John Fiske,Q705089,human,,1939-01-01T00:00:00Z,165409026,137822243,United Kingdom,male,CULTURAL_STUDIES
Fiske,John Fiske,Q705089,human,,1939-01-01T00:00:00Z,165409026,137822243,United Kingdom,male,CULTURAL_STUDIES
Adam Krims,Adam Krims,Q109811214,human,,,305239921,1035228939,,male,CULTURAL_STUDIES
Krims,Adalbert Krims,Q347533,human,,1948-04-17T00:00:00Z,292919639,141390174,Austria,male,CULTURAL_STUDIES
Cultural Stud*,Cultural Stud*,Q1143546,academic major,,,,,,,CULTURAL_STUDIES
,,,interdisciplinary science,,,,,,,
,,,branch of science,,,,,,,
Theor* of Culture,Theor* of Culture,,,,,,,,,CULTURAL_STUDIES
Critical Theory,Critical Theory,,,,,,,,,CULTURAL_STUDIES
Georg Lukács,György Lukács,Q151523,human,1971-06-04T00:00:00Z,1885-04-13T00:00:00Z,46764285,11857518X,Hungary,male,MARXIST_THEORY
Lukács,György Lukács,Q151523,human,1971-06-04T00:00:00Z,1885-04-13T00:00:00Z,46764285,11857518X,Hungary,male,MARXIST_THEORY
Bertold Brecht,Bertolt Brecht,Q38757,human,1956-08-14T00:00:00Z,1898-02-10T00:00:00Z,2467372,118514768,German Empire,male,MARXIST_THEORY
Brecht,Bertolt Brecht,Q38757,human,1956-08-14T00:00:00Z,1898-02-10T00:00:00Z,2467372,118514768,German Empire,male,MARXIST_THEORY
Lucien Goldman,Lucien Goldmann,Q513448,human,1970-10-08T00:00:00Z,1913-07-20T00:00:00Z,12309113,118540483,France,male,MARXIST_THEORY
Goldmann,Lucien Goldmann,Q513448,human,1970-10-08T00:00:00Z,1913-07-20T00:00:00Z,12309113,118540483,France,male,MARXIST_THEORY
Pierre Macherey,Pierre Macherey,Q326897,human,,1938-02-17T00:00:00Z,108291115,142370789,France,male,MARXIST_THEORY
Macherey,Pierre Macherey,Q326897,human,,1938-02-17T00:00:00Z,108291115,142370789,France,male,MARXIST_THEORY
Raymond Williams,Raymond Williams,Q394628,human,1988-01-26T00:00:00Z,1921-08-31T00:00:00Z,87380498,118771981,United Kingdom,male,MARXIST_THEORY
Terry Eagleton,Terry Eagleton,Q315349,human,,1943-02-22T00:00:00Z,73874087,118687395,United Kingdom,male,MARXIST_THEORY
Eagleton,Terry Eagleton,Q315349,human,,1943-02-22T00:00:00Z,73874087,118687395,United Kingdom,male,MARXIST_THEORY
Fredric Jameson,Fredric Jameson,Q347362,human,,1934-04-14T00:00:00Z,108213141,118925253,United States of America,male,MARXIST_THEORY
Karl Marx,Karl Marx,Q9061,human,1883-03-14T00:00:00Z,1818-05-05T00:00:00Z,49228757,118578537,Kingdom of Prussia,male,MARXIST_THEORY
Marx,Karl Marx,Q9061,human,1883-03-14T00:00:00Z,1818-05-05T00:00:00Z,49228757,118578537,Kingdom of Prussia,male,MARXIST_THEORY
Stuart Hall,Stuart Hall,Q450741,human,2014-02-10T00:00:00Z,1932-02-03T00:00:00Z,68998327,119345862,United Kingdom,male,MARXIST_THEORY
Marxism,Marxism,Q18880622,,,,,,,,MARXIST_THEORY
political criticism,political criticism,,,,,,,,,MARXIST_THEORY
New Left Marxism,New Left Marxism,,,,,,,,,MARXIST_THEORY
Marxis* Theor*,Marxis* Theor*,,,,,,,,,MARXIST_THEORY
theory,theory,,,,,,,,,THEORY
theories,theories,,,,,,,,,THEORY
theory,theory,,,,,,,,,THEORY
theories,theories,,,,,,,,,THEORY
hermeneut*,hermeneut*,,,,,,,,,HERMENEUTICS
theory of understanding,theory of understanding,,,,,,,,,HERMENEUTICS
